rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
67,36,"Double Dragon","Genesis/Mega Drive",1,2455,2455,2455,15,0,"Beat 'em Up","Technōs Japan","Taito","1993-01-01"
68,119,"Road Rash II","Genesis/Mega Drive",1,2415,2415,2415,50,0,"Arcade racing","Electronic Arts","Electronic Arts","1993-01-01"
69,2235,"~Hack~ Sonic the Hedgehog: Classic Heroes","Genesis/Mega Drive",1,2379,2379,2379,42,0,"2D Platforming","Flamewing, ColinC10","Hack - Sonic the Hedgehog 2","2012-07-20"
70,6718,"Barney's Hide and Seek Game","Genesis/Mega Drive",1,2352,2352,2352,17,0,"Educational, 2D Platforming","Realtime Associates","Sega","1993-06-01"
71,4726,"Trouble Shooter","Genesis/Mega Drive",1,2311,2311,2311,27,0,"Shoot 'em Up","Vic Tokai","Vic Tokai","1991-01-01"
72,65,"Shining Force","Genesis/Mega Drive",1,2299,2299,2299,70,0,"Tactical RPG","Camelot Software Planning","Sega","1992-03-20"
73,3108,"Battle Mania Daiginjou","Genesis/Mega Drive",1,2223,2223,2223,35,0,"Shoot 'em Up","Vic Tokai","Vic Tokai","1993-12-24"
74,156,"Boogerman: A Pick and Flick Adventure","Genesis/Mega Drive",1,2128,2128,2128,30,0,"2D Platforming","Interplay Entertainment","Interplay Entertainment","1994-11-18"
75,50,"Phantasy Star IV: The End of the Millennium","Genesis/Mega Drive",1,2105,2105,2105,93,0,"","Sega","Sega","1993-12-17"
76,221,"Dynamite Headdy","Genesis/Mega Drive",1,2088,2088,2088,39,0,"2D Platforming","Treasure","Sega","1994-09-01"
77,10229,"Street Fighter II: Special Champion Edition","Genesis/Mega Drive",1,2079,2079,2079,26,0,"2D Fighting","Capcom","Capcom","1993-09-18"
78,295,"Bishoujo Senshi Sailor Moon","Genesis/Mega Drive",1,2063,2063,2063,13,0,"Beat 'em Up","Arc System Works, TNS","Ma-Ba","1994-07-08"
79,26,"Cool Spot","Genesis/Mega Drive",1,2035,2035,2035,40,0,"2D Platforming","Virgin Interactive","Virgin Interactive","1994-02-18"
80,4247,"Elemental Master","Genesis/Mega Drive",1,2014,2014,2014,45,0,"Shoot 'em Up","Technosoft | Tecno Soft","Renovation Products","1993-01-01"
81,4,"Zero Tolerance","Genesis/Mega Drive",1,1989,1989,1989,95,0,"First-Person Shooter","Technopop","Accolade","1994-10-01"
82,501,"DEcapAttack","Genesis/Mega Drive",1,1984,1984,1984,109,0,"","Vic Tokai","Sega","1991-09-01"
83,170,"Columns III: Revenge of Columns","Genesis/Mega Drive",1,1974,1974,1974,45,0,"","Minato Giken","Vic Tokai","1993-10-15"
84,80,"X-Men 2: Clone Wars","Genesis/Mega Drive",1,1951,1951,1951,42,0,"Beat 'em Up","Headgames","Sega","1995-01-01"
85,2367,"Valis","Genesis/Mega Drive",1,1932,1932,1932,51,0,"Action","Telenet Japan","Sega","1991-12-27"
86,19,"Ghostbusters","Genesis/Mega Drive",1,1929,1929,1929,58,0,"2D Platforming","Compile","Sega","1990-06-30"
87,125,"Show do Milhão","Genesis/Mega Drive",1,1926,1926,1926,21,0,"Game Show","Tectoy","Tectoy","2001-01-01"
88,70,"Ultimate Mortal Kombat 3","Genesis/Mega Drive",1,1922,1922,1922,43,0,"2D Fighting","Avalanche Software","Acclaim, Williams Entertainment","1995-01-01"
89,67,"Splatterhouse 3","Genesis/Mega Drive",1,1914,1914,1914,32,0,"Beat 'em Up","Now Production","Namco","1993-03-19"
90,1438,"Crusader of Centy","Genesis/Mega Drive",1,1885,1885,1885,79,0,"Action RPG","Nex Entertainment","Atlus","1994-06-17"
91,574,"The Punisher","Genesis/Mega Drive",1,1815,1815,1815,30,0,"Beat 'em Up","Capcom","Capcom","1995-02-01"
92,226,"Arrow Flash","Genesis/Mega Drive",1,1787,1787,1787,20,0,"Shoot 'em Up","ITL","Renovation Products, Sega","1990-10-20"
93,587,"Zero Wing","Genesis/Mega Drive",1,1779,1779,1779,34,0,"Shoot 'em Up","Toaplan","Toaplan, Sega","1991-05-31"
94,583,"Snow Bros.: Nick & Tom","Genesis/Mega Drive",1,1778,1778,1778,11,0,"2D Platforming","Toaplan","Tengen","1993-05-28"
95,60,"Mortal Kombat II","Genesis/Mega Drive",1,1777,1777,1777,35,0,"2D Fighting","Probe Entertainment","Acclaim","1994-09-09"
96,2364,"Gargoyles","Genesis/Mega Drive",1,1747,1747,1747,37,0,"2D Platforming","Disney Interactive Studios","Disney Interactive Studios","1995-05-15"
97,289,"Last Battle","Genesis/Mega Drive",1,1702,1702,1702,30,0,"Beat 'em Up","Sega","Sega","1989-01-01"
98,1404,"Steel Empire","Genesis/Mega Drive",1,1702,1702,1702,26,0,"Shoot 'em Up","HOT B","HOT B, Flying Edge","1992-03-13"
99,4228,"Devil Crash MD","Genesis/Mega Drive",1,1667,1667,1667,39,0,"Pinball","Technosoft | Tecno Soft","Tengen","1991-10-10"
100,1426,"Burning Force","Genesis/Mega Drive",1,1606,1606,1606,40,0,"Rail Shooter","Namco","Namco","1990-01-01"
101,15387,"~Homebrew~ Xeno Crisis","Genesis/Mega Drive",1,1595,1595,1595,54,0,"Twin Stick Shooter","Bitmap Bureau","Homebrew - Genesis/Mega Drive","2019-10-28"
102,59,"Flicky","Genesis/Mega Drive",1,1591,1591,1591,20,0,"","Sega","Sega","1991-01-01"
103,4123,"Bonanza Bros.","Genesis/Mega Drive",1,1566,1566,1566,27,0,"Stealth","Sega","Sega","1991-05-17"
104,52,"Super Street Fighter II: The New Challengers","Genesis/Mega Drive",1,1558,1558,1558,24,0,"2D Fighting","Capcom","Capcom","1994-06-25"
105,99,"Fatal Labyrinth","Genesis/Mega Drive",1,1554,1554,1554,89,0,"Roguelike","Sega","Sega","1990-11-21"
106,4102,"Aero the Acro-Bat","Genesis/Mega Drive",1,1549,1549,1549,85,0,"2D Platforming","Iguana Entertainment","Sunsoft","1993-08-01"
107,536,"Super Smash T.V.","Genesis/Mega Drive",1,1542,1542,1542,14,0,"Twin Stick Shooter","Probe Entertainment","Flying Edge","1992-01-01"
108,290,"Captain America and the Avengers","Genesis/Mega Drive",1,1534,1534,1534,11,0,"Beat 'em Up","Data East","Mindscape","1992-01-01"
109,262,"Wonder Boy III: Monster Lair","Genesis/Mega Drive",1,1534,1534,1534,29,0,"","Westone","Sega","1990-12-22"
110,240,"Truxton","Genesis/Mega Drive",1,1531,1531,1531,31,0,"Shoot 'em Up","Toaplan","Taito, Romstar, Midway","1989-12-09"
111,4239,"DUNE: The Battle for Arrakis","Genesis/Mega Drive",1,1526,1526,1526,51,0,"Real-Time Strategy","","Virgin Interactive","1993-01-01"
112,2545,"Mickey Mania: The Timeless Adventures of Mickey Mouse","Genesis/Mega Drive",1,1522,1522,1522,20,0,"2D Platforming","Traveller's Tales","Sony Imagesoft","1994-01-01"
113,75,"Shining Force II","Genesis/Mega Drive",1,1516,1516,1516,98,0,"Tactical RPG","Climax Entertainment, Camelot Software Planning","Sega","1993-10-01"
114,2439,"Gaiares","Genesis/Mega Drive",1,1504,1504,1504,29,0,"Shoot 'em Up","Telenet Japan","Renovation Products","1990-01-01"
115,3684,"Advanced Busterhawk: Gley Lancer","Genesis/Mega Drive",1,1495,1495,1495,44,0,"Shoot 'em Up","","","1992-07-17"
116,205,"~Hack~ Sonic the Hedgehog: Megamix","Genesis/Mega Drive",1,1490,1490,1490,18,0,"2D Platforming","Team Megamix","Hack - Sonic the Hedgehog","2005-11-15"
117,166,"Road Rash 3: Tour de Force","Genesis/Mega Drive",1,1487,1487,1487,22,0,"Racing","Electronic Arts","Electronic Arts","1995-05-15"
118,225,"Turbo OutRun","Genesis/Mega Drive",1,1467,1467,1467,24,0,"Arcade Racing","","Sega","1992-03-27"
119,4418,"Rock n' Roll Racing","Genesis/Mega Drive",1,1464,1464,1464,41,0,"Racing","Silicon & Synapse","Interplay Entertainment","1994-01-01"
120,143,"Beyond Oasis","Genesis/Mega Drive",1,1463,1463,1463,33,0,"Action RPG","Ancient","Sega","1994-12-09"
121,11185,"~Hack~ Sonic 3D Blast: Director's Cut","Genesis/Mega Drive",1,1416,1416,1416,50,0,"2.5D Platforming","Jon Burton","Hack - Sonic 3D Blast","2017-12-23"
122,178,"Mighty Morphin Power Rangers","Genesis/Mega Drive",1,1389,1389,1389,53,0,"2D Fighting","Banpresto","Sega","1994-01-01"
123,4169,"Bio-Hazard Battle","Genesis/Mega Drive",1,1386,1386,1386,31,0,"Shoot 'em Up","Sega","Sega","1992-10-30"
124,571,"Midnight Resistance","Genesis/Mega Drive",1,1380,1380,1380,27,0,"","Data East","Sega","1991-03-29"
125,46,"Atomic Runner","Genesis/Mega Drive",1,1373,1373,1373,33,0,"","Data East","Data East","1992-10-16"
126,302,"ESWAT: City Under Siege","Genesis/Mega Drive",1,1368,1368,1368,42,0,"","Sega","Sega","1990-10-01"
127,176,"Marble Madness","Genesis/Mega Drive",1,1360,1360,1360,19,0,"Action/Puzzle","Atari, Electronic Arts","Electronic Arts","1991-11-01"
128,31,"Fantastic Dizzy","Genesis/Mega Drive",1,1315,1315,1315,31,0,"Action-Adventure, 2D Platforming","Codemasters","Camerica","1993-09-21"
129,25,"Vectorman","Genesis/Mega Drive",1,1281,1281,1281,47,0,"","BlueSky Software","Sega","1995-10-25"
130,807,"Jurassic Park: Rampage Edition","Genesis/Mega Drive",1,1273,1273,1273,38,0,"Action","BlueSky Software","Sega","1994-10-01"
131,4266,"The Great Waldo Search","Genesis/Mega Drive",1,1268,1268,1268,12,0,"Hidden Object","Radiance Software","THQ","1992-06-01"
132,4237,"Dragon's Revenge","Genesis/Mega Drive",1,1264,1264,1264,25,0,"Pinball","Tengen","Tengen","1993-12-10"
