rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
98,1580,"Bionic Commando","NES/Famicom",7,2253,2253,2253,39,0,"2D Platforming","Capcom","Capcom","1988-07-01"
99,1657,"Donkey Kong 3","NES/Famicom",7,2243,2243,2243,29,0,"","Nintendo","Nintendo","1984-07-04"
100,2073,"Where's Waldo?","NES/Famicom",7,2200,2200,2200,28,0,"Hidden Object","Bethesda Softworks","THQ","1991-09-01"
101,1481,"Lode Runner","NES/Famicom",7,2194,2194,2194,64,0,"","Brøderbund Software","Broderbund Software, Hudson Soft","1984-07-31"
102,1547,"Astyanax","NES/Famicom",7,2193,2193,2193,35,0,"Action, 2D Platforming","Aicom","Jaleco","1989-12-21"
103,1597,"The Bugs Bunny Crazy Castle","NES/Famicom",7,2138,2138,2138,39,0,"","Kotobuki System","Kemco","1989-08-01"
104,5790,"Astérix","NES/Famicom",7,2114,2114,2114,61,0,"2D Platforming","Bit Managers","Infogrames","1993-01-01"
105,1728,"Gun Nac","NES/Famicom",7,2114,2114,2114,23,0,"Shoot 'em Up","Compile","ASCII Entertainment","1990-01-01"
106,4559,"Batman: Return of the Joker","NES/Famicom",7,2105,2105,2105,21,0,"2D Platforming, Run & Gun","Sunsoft","Sunsoft","1991-12-20"
107,1843,"Monster In My Pocket","NES/Famicom",7,2094,2094,2094,25,0,"2D Platforming","Konami","Konami","1992-01-01"
108,1682,"Faxanadu","NES/Famicom",7,2091,2091,2091,75,0,"","Hudson Soft","Nintendo","1987-11-16"
109,16549,"Pac-Man: Championship Edition","NES/Famicom",7,2089,2089,2089,20,0,"Maze Chase","M2","Bandai Namco","2020-06-18"
110,1459,"Blaster Master","NES/Famicom",7,2066,2066,2066,25,0,"2D Platforming","Tokai Engineering","Sunsoft","1988-06-01"
111,1470,"Dragon Quest II","NES/Famicom",7,2064,2064,2064,69,0,"","Chunsoft","Enix","1987-01-26"
112,1871,"Panic Restaurant","NES/Famicom",7,2063,2063,2063,28,0,"2D Platforming","EIM","Taito","1992-10-01"
113,2014,"Tecmo Super Bowl","NES/Famicom",7,2056,2056,2056,130,0,"Sports - American Football","Tecmo","Koei | Tecmo","1991-12-13"
114,1552,"Back to the Future","NES/Famicom",7,2050,2050,2050,50,0,"Shoot 'em Up","Beam Software","LJN Entertainment","1989-09-01"
