rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
53,3970,"Grand Theft Auto: Liberty City Stories","PlayStation Portable",41,1473,1473,1473,93,0,"Action-Adventure, Sandbox","Rockstar Leeds","Rockstar Games","2005-10-24"
54,10523,"LocoRoco","PlayStation Portable",41,1458,1458,1458,101,0,"2D Platforming, Physics Puzzle","Japan Studio","Sony Computer Entertainment","2006-06-23"
55,29730,"~Homebrew~ Cave Story","PlayStation Portable",41,1438,1438,1438,183,0,"2D Platforming, Metroidvania, Run & Gun","ufo_z","ufo_z","2007-07-08"
56,3995,"Initial D: Street Stage","PlayStation Portable",41,1403,1403,1403,40,0,"Arcade Racing","TOSE","Sega","2006-02-23"
57,14204,"Midnight Club: L.A. Remix","PlayStation Portable",41,1403,1403,1403,59,0,"Arcade Racing","Rockstar San Diego","Rockstar Games","2008-10-21"
58,3511,"The 3rd Birthday","PlayStation Portable",41,1398,1398,1398,74,0,"Action RPG, Third-Person Shooter","Square Enix, HexaDrive","Square Enix","2010-12-22"
59,18158,"Dragon Ball Z: Tenkaichi Tag Team","PlayStation Portable",41,1378,1378,1378,83,0,"Arena Fighting","Spike","Bandai Namco","2010-09-30"
60,3888,"Midnight Club 3: DUB Edition","PlayStation Portable",41,1352,1352,1352,94,0,"Arcade Racing","Rockstar San Diego","Rockstar Games","2005-06-28"
61,3187,"LEGO Star Wars II: The Original Trilogy","PlayStation Portable",41,1299,1299,1299,41,0,"Action-Adventure","Traveller's Tales","LucasArts | Lucasfilm","2006-09-12"
62,3822,"Final Fantasy II","PlayStation Portable",41,1295,1295,1295,115,0,"","Square Enix","Square Enix","2007-06-07"
63,3572,"MediEvil: Resurrection","PlayStation Portable",41,1258,1258,1258,51,0,"Action-Adventure","","Sony Computer Entertainment","2005-09-13"
64,3589,"Metal Gear Solid: Portable Ops","PlayStation Portable",41,1241,1241,1241,54,0,"Action-Adventure, Stealth","Kojima Productions","Konami","2006-12-05"
65,14662,"Valkyria Chronicles 2","PlayStation Portable",41,1204,1204,1204,314,0,"Tactical RPG","Sega CS3","Sega","2010-01-21"
66,3929,"PaRappa the Rapper","PlayStation Portable",41,1187,1187,1187,34,0,"Rhythm","epics","Sony Computer Entertainment","2006-12-07"
67,3587,"Ultimate Ghosts 'n Goblins","PlayStation Portable",41,1184,1184,1184,42,0,"2D Platforming, Action","Tose","Capcom","2006-08-13"
68,4004,"Metal Slug XX","PlayStation Portable",41,1170,1170,1170,52,0,"Run & Gun","SNK","SNK, Atlus","2009-12-23"
69,3514,"Ape Escape: On the Loose","PlayStation Portable",41,1164,1164,1164,93,0,"3D Platforming","SIMS | Sanritsu","Sony Computer Entertainment","2005-03-22"
70,3951,"Mortal Kombat: Unchained","PlayStation Portable",41,1161,1161,1161,74,0,"3D Fighting","JGI Entertainment","Midway","2006-11-13"
71,3591,"Monster Hunter Freedom","PlayStation Portable",41,1159,1159,1159,199,0,"Action RPG","Capcom","Capcom","2005-12-01"
72,3733,"N+","PlayStation Portable",41,1148,1148,1148,109,0,"2D Platforming","Metanet Software & SilverBirch Studios","Atari","2008-08-26"
73,2970,"Street Fighter Alpha 3 Max","PlayStation Portable",41,1131,1131,1131,83,0,"2D Fighting","Capcom","Capcom","2006-01-19"
74,3921,"Hatsune Miku: Project DIVA","PlayStation Portable",41,1130,1130,1130,95,0,"Rhythm","Dingo","Sega","2009-07-02"
75,2971,"Peggle","PlayStation Portable",41,1118,1118,1118,47,0,"Action, Pachinko","PopCap Games","Electronic Arts, PopCap Games","2010-11-15"
76,18185,"Williams Pinball Classics | Pinball Hall of Fame: The Williams Collection","PlayStation Portable",41,1074,1074,1074,116,0,"Pinball","Farsight Studios","Crave Entertainment, System 3 | Play It","2008-02-26"
77,18009,"Ben 10: Alien Force","PlayStation Portable",41,1060,1060,1060,43,0,"Beat 'em Up","Vicious Cycle Software | Monkey Bar Games","D3 Publisher","2008-10-28"
78,20495,"Naruto Shippuden: Ultimate Ninja Heroes 3","PlayStation Portable",41,1056,1056,1056,56,0,"2D Fighting","CyberConnect2 | CyberConnect","Bandai Namco","2009-12-10"
79,18067,"The Sims 2","PlayStation Portable",41,1026,1026,1026,39,0,"Life Simulation","Amaze Entertainment","Electronic Arts","2005-12-07"
80,2973,"Medal of Honor: Heroes","PlayStation Portable",41,1010,1010,1010,40,0,"First-Person Shooter","Team Fusion","Electronic Arts","2006-10-23"
81,22484,"Naruto Shippuden: Ultimate Ninja Impact","PlayStation Portable",41,994,994,994,157,0,"Hack & Slash","CyberConnect2 | CyberConnect, Racjin","Bandai Namco","2011-10-18"
82,3914,"The Simpsons Game","PlayStation Portable",41,971,971,971,53,0,"3D Platforming","Electronic Arts, Rebellion","Electronic Arts","2007-11-06"
83,3037,"LEGO Harry Potter: Years 1-4","PlayStation Portable",41,944,944,944,54,0,"Action-Adventure","TT Fusion","Warner Bros. Interactive Entertainment","2010-06-25"
84,6352,"20Q","PlayStation Portable",41,931,931,931,17,0,"Trivia","doublesix Video Games","20Q.net","2011-04-20"
85,3571,"Me & My Katamari","PlayStation Portable",41,905,905,905,177,0,"Action, Puzzle","Namco","Namco","2005-12-22"
86,10479,"The Legend of Heroes: Trails in the Sky FC","PlayStation Portable",41,902,902,902,150,0,"Turn-Based RPG","Nihon Falcom","XSEED Games","2006-09-28"
87,6427,"Yu-Gi-Oh! ARC-V Tag Force Special","PlayStation Portable",41,895,895,895,245,0,"Collectible Card Game","Konami","Konami","2015-01-22"
88,3223,"Lumines","PlayStation Portable",41,890,890,890,110,0,"","Q Entertainment","Bandai Namco, Ubisoft","2004-12-12"
89,3506,"Patapon 2","PlayStation Portable",41,859,859,859,111,0,"Rhythm","Pyramid, Japan Studio","Sony Computer Entertainment","2008-11-27"
90,2759,"WTF: Work Time Fun","PlayStation Portable",41,852,852,852,275,0,"Minigames","Sony Computer Entertainment","D3 Publisher","2005-12-22"
91,18142,"Digimon Adventure","PlayStation Portable",41,834,834,834,140,0,"Turn-Based RPG","Prope","Bandai Namco","2013-01-17"
92,3519,"K-ON! Ho-kago Live!!","PlayStation Portable",41,826,826,826,189,0,"Rhythm","xeen","Sega","2010-09-30"
93,14205,"Age of Zombies","PlayStation Portable",41,774,774,774,37,0,"","","Halfbrick Studios","2010-02-25"
94,3729,"Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei","PlayStation Portable",41,754,754,754,90,0,"Visual Novel","Spike","Spike","2010-11-25"
95,2735,"One Piece: Romance Dawn - Bouken no Yoake","PlayStation Portable",41,754,754,754,70,0,"Turn-Based RPG","Three Rings","Bandai Namco","2012-12-20"
96,18159,"Fate/Extra","PlayStation Portable",41,751,751,751,90,0,"Turn-Based RPG","Type-Moon, Imageepoch","Marvelous Interactive, Aksys Games, Ghostlight","2010-07-22"
97,18455,"Spider-Man: Web of Shadows - Amazing Allies Edition","PlayStation Portable",41,741,741,741,42,0,"Beat 'em Up","Amaze Entertainment","Activision","2008-10-21"
98,3040,"LEGO Pirates of the Caribbean: The Video Game","PlayStation Portable",41,739,739,739,30,0,"Action-Adventure","TT Fusion","Disney Interactive Studios","2011-05-10"
99,22488,"Sword Art Online: Infinity Moment","PlayStation Portable",41,734,734,734,174,0,"","Aquria","Bandai Namco","2013-03-14"
100,2388,"Canabalt","PlayStation Portable",41,725,725,725,7,0,"Endless Runner","Finji","Beatshapers","2012-03-15"
101,18088,"Bleach: Heat the Soul","PlayStation Portable",41,710,710,710,60,0,"3D Fighting","","Sony Computer Entertainment","2005-03-24"
102,14169,"Valkyrie Profile: Lenneth","PlayStation Portable",41,702,702,702,161,0,"Turn-Based RPG","","Square Enix","2006-07-18"
103,18133,"Diner Dash","PlayStation Portable",41,683,683,683,83,0,"Job Simulation","Climax London, PlayFirst","Eidos Interactive","2007-05-11"
104,3726,"Tactics Ogre: Let Us Cling Together","PlayStation Portable",41,680,680,680,148,0,"Tactical RPG","Square Enix","Square Enix","2011-02-15"
105,18350,"SpongeBob's Truth or Square","PlayStation Portable",41,675,675,675,52,0,"3D Platforming","Barking Lizards","THQ","2009-10-26"
106,20095,"Michael Jackson: The Experience","PlayStation Portable",41,666,666,666,91,0,"Rhythm","Ubisoft","Ubisoft","2010-11-23"
107,3999,"Nayuta no Kiseki","PlayStation Portable",41,663,663,663,249,0,"Action RPG","Nihon Falcom","Nihon Falcom","2012-07-26"
108,18173,"Spider-Man 2","PlayStation Portable",41,644,644,644,100,0,"Action-Adventure","Vicarious Visions","Activision","2005-03-23"
109,28296,"~Homebrew~ Fruit Ninja","PlayStation Portable",41,610,610,610,13,0,"Arcade","yokaai","yokaai","2023-09-01"
110,3541,"Corpse Party","PlayStation Portable",41,609,609,609,33,0,"Adventure","5pb., Team GrisGris","XSEED Games","2010-08-12"
111,18712,"Def Jam: Fight for NY - The Takeover","PlayStation Portable",41,593,593,593,42,0,"Arena Fighting","EA Studios Japan, AKI | syn Sophia","Electronic Arts","2006-08-31"
112,3908,"Star Ocean: First Departure","PlayStation Portable",41,589,589,589,115,0,"Action RPG","tri-Ace, TOSE","Square Enix","2007-12-27"
113,3255,"Twisted Metal: Head-On","PlayStation Portable",41,563,563,563,73,0,"Vehicular Combat","Incognito Entertainment","Sony Computer Entertainment","2005-03-24"
114,18161,"Crash: Mind Over Mutant","PlayStation Portable",41,552,552,552,76,0,"3D Platforming, Beat 'em Up","Virtuos","Activision","2008-10-23"
115,18116,"Naruto: Ultimate Ninja Heroes","PlayStation Portable",41,543,543,543,42,0,"2D Fighting","CyberConnect2 | CyberConnect","Bandai Namco","2007-08-28"
116,3974,"Pangya Fantasy Golf","PlayStation Portable",41,542,542,542,283,0,"Sports - Golf","Ntreev Soft","Tomy","2009-06-23"
117,3516,"Hatsune Miku: Project DIVA Extend","PlayStation Portable",41,535,535,535,107,0,"Rhythm","Dingo","Sega","2011-11-10"
118,10481,"The Legend of Heroes: Trails in the Sky SC","PlayStation Portable",41,530,530,530,245,0,"Turn-Based RPG","Nihon Falcom","Nihon Falcom, XSEED Games","2007-09-27"
