gameId,gameTitle,md5,romName,labels,patchUrl,region
11750,Metal Slug: Super Vehicle-001,b43c8b4ec999588c04dad79bb8bcc745,mslug.7z <Metal Slug - Super Vehicle-001>,fbneo,,unknown
11763,Cadillacs and Dinosaurs,b246ff693d453c3b1a3049752da2bc75,dino.7z <Cadillacs & Dinosaurs (930201 World)>,fbneo,,unknown
11795,Street Fighter III: 3rd Strike - Fight for the Future,002180613c2131abce28ae5bd4a8a2fb,"sfiii3n.7z <Street Fighter III 3rd Strike: Fight for the Future (Japan 990608, NO CD)>",fbneo,,unknown
11770,Metal Slug X: Super Vehicle-001,320a36c48c06dce51438108df9defb90,mslugx.7z <Metal Slug X - Super Vehicle-001 (NGM-2500)(NGH-2500)>,fbneo,,unknown
11727,Final Fight,946e902aa8b913f8e972a64b5133c522,"ffight.7z <Final Fight (World, set 1)>",fbneo,,world
11825,Metal Slug 2: Super Vehicle-001/II,b1475b391ad385c16feae3a2bfbfc2a0,mslug2.7z <Metal Slug 2 - Super Vehicle-001/II (NGM-2410) (NGH-2410)>,fbneo,,unknown
11726,Captain Commando,33d1f8bc44a414a1f2f76cfe4c197c66,"captcommb.7z <Captain Commando (bootleg set 1, 911014 other country)>",fbneo,,unknown
11787,The Punisher,1a52ed76f4df2f621e235c36a97deed3,punisher.7z <The Punisher (930422 World)>,fbneo,,unknown
11820,Alien vs. Predator,93e4612854908c374d33bfb5c979f540,avsp.7z <Alien vs Predator (940520 Euro)>,fbneo,,unknown
11943,Donkey Kong,02bbe063efc4b8883206c66e6cb775c9,dkong.7z <Donkey Kong (US set 1)>,fbneo,,unknown
11771,Metal Slug 3,f69dc77532431c03d1dfbd31835bc4dd,mslug3.7z <Metal Slug 3 (NGM-2560)>,fbneo,,unknown
11757,The King of Fighters '98: The Slugfest,c0959b94e46f1811952055be7f59cba6,kof98.7z <The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends (NGM-2420)>,fbneo,,unknown
12026,Metal Slug 4,d5d7199eda7492cd9ee24173357e781b,mslug4.7z <Metal Slug 4 (NGM-2630)>,fbneo,,unknown
12192,Pac-Man,64d1f88b9b276aece4b0edcc25b7a434,pacman.7z <Pac-Man (Midway)>,fbneo,,unknown
11975,Altered Beast,bc80ce3199cfe7265644e711e7919013,"altbeast2.7z <Altered Beast (set 2, MC-8123B 317-0066)>",fbneo,,unknown
11903,Ghouls 'n Ghosts,0d52f5c4bb4701002f55625040435aea,ghouls.7z <Ghouls'n Ghosts (World)>,fbneo,,world
14976,Mortal Kombat,07d935680b6501b2e42fe4baea021389,mk.7z <Mortal Kombat (rev 5.0 T-Unit 03/19/93)>,fbneo,,unknown
12211,Teenage Mutant Ninja Turtles: Turtles in Time,38e530be656a4e14b31e709c0502e4ec,tmnt22pu.7z <Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver. UDA)>,fbneo,,unknown
12154,Golden Axe,8eaf95929427abcecd6d57babe80c643,"goldnaxej.7z <Golden Axe (set 4, Japan, FD1094 317-0121)>",fbneo,,japan
12210,Teenage Mutant Ninja Turtles,344f706dd7fa89df2b38166b5f300c48,"tmnt.7z <Teenage Mutant Ninja Turtles (World 4 Players, version X)>",fbneo,,unknown
11806,Marvel vs. Capcom: Clash of Super Heroes,7280b613c4597b4a4bbbae6f634bb886,mvsc.7z <Marvel vs Capcom - clash of super heroes (980123 Euro)>,fbneo,,unknown
13796,Neo Turf Masters,86a5e87842b12616c52f467f5693348f,turfmast.7z <Neo Turf Masters / Big Tournament Golf>,fbneo,,unknown
11971,Aliens,32d0f9f324c6861605e0f948c2b68be6,aliens.7z <Aliens (World set 1)>,fbneo,,unknown
12323,Neo Drift Out: New Technology,49608f90881c51825b3bd2c414f21fba,neodrift.7z <Neo Drift Out - New Technology>,fbneo,,unknown
11800,Ms. Pac-Man,01052a074f9e7ce8dc823a5dd2155d14,mspacman.zip <MS Pacman>,fbneo,,unknown
11960,1942,519c84155964659375821f7ca576f095,1942.7z <1942 (Revision B)>,fbneo,,unknown
12027,Metal Slug 5,024e350be5736b014d80c32330f03e2a,mslug5.7z <Metal Slug 5 (NGM-2680)>,fbneo,,unknown
12247,Puzzle Bobble (Neo Geo),0bef9fa16cd52606f5c7b4363e726085,pbobblen.7z <Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083)>,fbneo,,unknown
11984,Astérix,1bf43bfeec4116b50a2789a61abfff59,asterixeac.7z <Asterix (ver EAC)>,fbneo,,unknown
11933,X-Men,663e35948366c5f5d39b27df6826231a,xmenaa.7z <X-Men (4 Players ver ADA)>,fbneo,,unknown
12035,The King of Fighters 2002,bcdeb242322af6d883799bd46d874d62,kof2002.7z <The King of Fighters 2002 (NGM-2650)(NGH-2650)>,fbneo,,unknown
13767,Cyber-Lip,db42d9fb2f27e14ea4d97a0bd5aa2c67,cyberlip.7z <Cyber-Lip (NGM-010)>,fbneo,,unknown
11991,Bad Dudes vs. DragonNinja,75d86ead4097fb1123ef54ca07d16f6e,baddudes.7z <Bad Dudes vs. Dragonninja (US)>,fbneo,,unknown
16525,Metal Slug 6,b0f22e7a710efc527f04ec29d71b435c,mslug6.zip,mamesl,,unknown
12138,Galaga,b8140b5e33c53b0f7dd3cc368951a4dd,galaga.7z <Galaga (Namco rev. B)>,fbneo,,unknown
12814,DonPachi,55e3a560128c0ecfd8999ab366ef7cf2,"donpachi.7z <DonPachi (USA, ver. 1.12, 95/05/2x)>",fbneo,,usa
11932,Sunset Riders,492ea859726d84d6fc94aaed5d07152c,ssridersubc.7z <Sunset Riders (2 Players ver. UBC)>,fbneo,,unknown
11905,Nightmare in the Dark,c49db6febda650eb59149c52852df9e5,nitd.7z <Nightmare in the Dark>,fbneo,,unknown
11758,Art of Fighting,df4a8b32238c36921a260ed6ab784850,aof.7z <Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044)>,fbneo,,unknown
11935,OutRun,83a4bf4956274d8cabccc84b446a4694,"outrun.7z <Out Run (sitdown/upright, Rev B)>",fbneo,,unknown
