rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
12,11388,Yu-Gi-Oh! Forbidden Memories,PlayStation,12,11142,11142,11142,216,0,Collectible Card Game,Konami,Konami,1999-12-09,"Yu-Gi-Oh! Forbidden Memories, known in Japan as Yu-Gi-Oh! Shin Duel Monsters (遊☆戯☆王真デュエルモンスターズ封印されし記憶), is a video game loosely based on the Yu-Gi-Oh! manga and anime series. The game was released exclusively for the PlayStation console in December 1999 in Japan and in 2002 in other regions.",https://media.retroachievements.org/Images/027033.png,https://media.retroachievements.org/Images/046985.png,https://media.retroachievements.org/Images/026494.png,https://media.retroachievements.org/Images/027028.png,4.6
13,11265,Resident Evil 3: Nemesis,PlayStation,12,11093,11093,11093,119,0,Survival Horror,Capcom,Capcom,1999-09-22,"Resident Evil 3: Nemesis is a 1999 survival horror video game developed and published by Capcom originally for the PlayStation. It is the third main installment in the Resident Evil series and takes place almost concurrently with the events of Resident Evil 2. The player must control former elite agent Jill Valentine as she escapes from Raccoon City, which has been overrun by zombies. The game uses the same engine as its predecessors and features 3D models over pre-rendered backgrounds with fixed camera angles. Choices through the game affect how the story unfolds and which ending is achieved.",https://media.retroachievements.org/Images/107651.png,https://media.retroachievements.org/Images/047497.png,https://media.retroachievements.org/Images/027431.png,https://media.retroachievements.org/Images/027432.png,4.6
14,11245,Resident Evil 2: DualShock Ver.,PlayStation,12,10442,10442,10442,131,0,Survival Horror,Capcom,Capcom,1998-08-06,"Resident Evil is a 1996 survival horror video game developed and published by Capcom for the PlayStation. It is the first main installment in Capcom's Resident Evil series. Set in the fictional Arklay mountain region in the Midwest, players control Chris Redfield and Jill Valentine, members of the elite task force S.T.A.R.S., who must escape a mansion infested with zombies and other monsters.",https://media.retroachievements.org/Images/027365.png,https://media.retroachievements.org/Images/047496.png,https://media.retroachievements.org/Images/027287.png,https://media.retroachievements.org/Images/027291.png,4.6
15,11242,Final Fantasy VII,PlayStation,12,9700,9700,9700,207,0,Turn-Based RPG,Square,Squaresoft,1997-01-31,"Final Fantasy VII is a 1997 role-playing video game developed and published by Square for the PlayStation. The seventh main installment in the Final Fantasy series, it was released in Japan by Square and internationally by Sony Computer Entertainment, becoming the first game in the main series to have a PAL release. The game's story follows Cloud Strife, a mercenary who joins an eco-terrorist organization to stop a world-controlling megacorporation from using the planet's life essence as an energy source. Ensuing events send Cloud and his allies in pursuit of Sephiroth, a superhuman who seeks to wound the planet and harness its healing power in order to be reborn as a god. Throughout their journey, Cloud bonds with his party members, including Aerith Gainsborough, who holds the secret to saving their world.",https://media.retroachievements.org/Images/070798.png,https://media.retroachievements.org/Images/046651.png,https://media.retroachievements.org/Images/015658.png,https://media.retroachievements.org/Images/015659.png,4.6
16,11317,MediEvil,PlayStation,12,9543,9543,9543,50,0,Action-Adventure,,Sony Computer Entertainment,1998-10-09,"MediEvil is a 1998 action-adventure game developed and published by Sony Computer Entertainment for the PlayStation. The game is set in the medieval Kingdom of Gallowmere and centers around the charlatan protagonist, Sir Daniel Fortesque, as he makes an attempt to stop antagonist Zarok's invasion of the kingdom whilst simultaneously redeeming himself.",https://media.retroachievements.org/Images/114756.png,https://media.retroachievements.org/Images/046632.png,https://media.retroachievements.org/Images/026486.png,https://media.retroachievements.org/Images/026485.png,4.6
17,11268,Resident Evil: Director's Cut,PlayStation,12,8690,8690,8690,115,0,Survival Horror,Capcom,Capcom,1997-09-25,"Resident Evil Requiem is a 2026 survival horror game developed and published by Capcom. It is the ninth main Resident Evil game, following Resident Evil Village (2021). It features a new protagonist, FBI analyst Grace Ashcroft, who investigates the remains of Raccoon City with the help of the federal agent and returning protagonist Leon S. Kennedy.",https://media.retroachievements.org/Images/079667.png,https://media.retroachievements.org/Images/046238.png,https://media.retroachievements.org/Images/100819.png,https://media.retroachievements.org/Images/100820.png,4.5
18,11305,R4: Ridge Racer Type 4,PlayStation,12,8163,8163,8163,44,0,Arcade Racing,Namco,"Namco, Sony Computer Entertainment",1998-12-03,"R4: Ridge Racer Type 4, released without the 'R4' prefix in PAL territories, is a 1998 racing video game developed and published by Namco for the PlayStation. It is the fourth home title in the Ridge Racer series after Rage Racer (1996) and was initially released on December 3, 1998 in Japan, with global releases following in 1999.",https://media.retroachievements.org/Images/059562.png,https://media.retroachievements.org/Images/022414.png,https://media.retroachievements.org/Images/022416.png,https://media.retroachievements.org/Images/022429.png,4.5
19,13444,Pepsiman: The Running Hero,PlayStation,12,8078,8078,8078,40,0,Action,KID,KID,1999-03-04,"Angry Video Game Nerd is an American web series of comedy-themed retrogaming reviews, created by and starring James Rolfe. The show revolves around reviews that involve acerbic rants about low quality video games. From the beginning of season 2, new episodes were aired first on GameTrailers.com, but are since now aired at Cinemassacre.com, with episodes later being re-aired on Rolfe's own YouTube channel. Episodes are usually scheduled for release on the first or second Wednesday of each month; originally, Rolfe's early work schedule allowed for two episodes per month, but other work commitments changed this to its present arrangement.",https://media.retroachievements.org/Images/066590.png,https://media.retroachievements.org/Images/046411.png,https://media.retroachievements.org/Images/022626.png,https://media.retroachievements.org/Images/022627.png,4.5
20,11368,PaRappa the Rapper,PlayStation,12,7805,7805,7805,27,0,Rhythm,NanaOn-Sha,Sony Computer Entertainment,1996-12-06,"PaRappa the Rapper is a rhythm video game developed by NanaOn-Sha and published by Sony Computer Entertainment for the PlayStation. It was originally released in Japan in 1996 and worldwide in 1997. Created by music producer Masaya Matsuura in collaboration with artist Rodney Greenblat, the game features unique visual design and rap-based gameplay and is considered to be the first true rhythm game. It was ported to the PlayStation Portable in 2006 in celebration of its 10-year anniversary. A remastered version of the original PlayStation game was released for PlayStation 4 in 2017 for the game's twentieth anniversary.",https://media.retroachievements.org/Images/073081.png,https://media.retroachievements.org/Images/026973.png,https://media.retroachievements.org/Images/026974.png,https://media.retroachievements.org/Images/026972.png,4.5
21,11311,Medal of Honor,PlayStation,12,7657,7657,7657,42,0,First-Person Shooter,DreamWorks Interactive,Electronic Arts,1999-11-10,"The Medal of Honor (MOH) is the highest military decoration of the United States Armed Forces and is awarded to recognize American soldiers, sailors, marines, airmen, guardians, and coast guardsmen who have distinguished themselves by acts of valor. The medal is normally awarded by the president of the United States and is presented in the name of Congress. It is often referred to as the Congressional Medal of Honor, though the official name of the award is simply Medal of Honor.",https://media.retroachievements.org/Images/054360.png,https://media.retroachievements.org/Images/055749.png,https://media.retroachievements.org/Images/026897.png,https://media.retroachievements.org/Images/026896.png,4.5
22,14631,Jackie Chan Stuntmaster,PlayStation,12,7477,7477,7477,65,0,"3D Platforming, Beat 'em Up",Radical Entertainment,Midway,2000-03-28,Jackie Chan Stuntmaster is a 2000 beat 'em up platform video game developed by Radical Entertainment for the PlayStation. Midway Games released it in North America while Sony Computer Entertainment released it in Europe.,https://media.retroachievements.org/Images/052906.png,https://media.retroachievements.org/Images/106194.png,https://media.retroachievements.org/Images/106193.png,https://media.retroachievements.org/Images/106192.png,4.5
