console,gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
Game Boy Advance,668,Pokémon Emerald Version,605b89b67018abcea91e693a4dd25be3,"Pokemon - Emerald Version (USA, Europe).gba",nointro,,usa,"Pokemon - Emerald Version (USA, Europe).zip",6976143
Game Boy Advance,534,Metroid: Zero Mission,ebbce58109988b6da61ebb06c7a432d5,Metroid - Zero Mission (USA).gba,nointro,,usa,Metroid - Zero Mission (USA).zip,5233426
Game Boy Advance,510,Castlevania: Aria of Sorrow,e7470df4d241f73060d14437011b90ce,Castlevania - Aria of Sorrow (USA).gba,nointro,,usa,Castlevania - Aria of Sorrow (USA).zip,4385457
Game Boy Advance,515,Pokémon FireRed Version,e26ee0d44e809351c8ce2d73c7400cdd,"Pokemon - FireRed Version (USA, Europe).gba",nointro,,usa,Pokemon_Fire_Red.zip,5324363
Game Boy Advance,559,The Legend of Zelda: The Minish Cap,a104896da0047abe8bee2a6e3f4c7290,"Legend of Zelda, The - The Minish Cap (USA).gba",nointro,,usa,"Legend of Zelda, The - The Minish Cap (USA).zip",7579411
Game Boy Advance,770,Kirby: Nightmare in Dream Land,35ae64b0f27e60107c14ab956f6cdf70,Kirby - Nightmare in Dream Land (USA).gba,nointro,,usa,Kirby - Nightmare in Dream Land (USA).zip,4712419
Game Boy Advance,802,"WarioWare, Inc.: Mega Microgame$!",a2d26dc774cec9a0b47388a5dd727b03,"WarioWare, Inc. - Mega Microgame$! (USA).gba",nointro,,usa,"WarioWare, Inc. - Mega Microgame$! (USA).zip",4955189
Game Boy Advance,793,Sonic Advance,49ecc8ef1988e7ae81fbda1b4cf71eed,"Sonic Advance (USA) (En,Ja).gba",nointro,,usa,"Sonic Advance (USA) (En,Ja).zip",2759774
Game Boy Advance,771,Mario & Luigi: Superstar Saga,4b1a5897d89d9e74ec7f630eefdfd435,Mario & Luigi - Superstar Saga (USA).gba,nointro,,usa,Mario & Luigi - Superstar Saga (USA).zip,6916473
Game Boy Advance,745,Castlevania: Circle of the Moon,50a1089600603a94e15ecf287f8d5a1f,Castlevania - Circle of the Moon (USA).gba,nointro,,usa,Castlevania - Circle of the Moon (USA).zip,3948275
Game Boy Advance,789,Pokémon Pinball: Ruby & Sapphire,ba6d0fbff297b8937d3c8e7f2c25fa0f,Pokemon Pinball - Ruby & Sapphire (USA).gba,nointro,,usa,Pokemon Pinball - Ruby & Sapphire (USA).zip,2597795
Game Boy Advance,769,Kirby & The Amazing Mirror,df5efe075b35859529ebf82a4d824458,Kirby & The Amazing Mirror (USA).gba,nointro,,usa,Kirby & The Amazing Mirror (USA).zip,6079868
Game Boy Advance,580,The Legend of Zelda: A Link to the Past & Four Swords,3287ca66e5cc285a9fe3a922051e84c6,"Legend of Zelda, The - A Link to the Past & Four Swords (USA).gba",nointro,,usa,"Legend of Zelda, The - A Link to the Past & Four Swords (USA).zip",3446961
