rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
191,15805,"~Prototype~ Tamiya Racing 64","Nintendo 64",2,211,211,211,8,0,"Racing","Looking Glass Studios","Looking Glass Studios","2012-04-05"
192,10430,"Rugrats: Scavenger Hunt","Nintendo 64",2,209,209,209,31,0,"Board Game","Realtime Associates","THQ","1999-06-29"
193,31886,"~Hack~ Banjo-Kazooie: New Snow Glow Village","Nintendo 64",2,207,207,207,12,0,"3D Platforming, Collect-a-thon","Hacker - Kurko Mods, Koolboymon, Skill","Hack - Banjo-Kazooie","2022-12-24"
194,10561,"~Hack~ Luigi's Mansion 64","Nintendo 64",2,206,206,206,37,0,"3D Platforming","Lincrash","Hack - Super Mario 64","2015-05-31"
195,10325,"WWF War Zone","Nintendo 64",2,206,206,206,64,0,"Sports - Wrestling","Sculptured Software | Iguana West","Acclaim","1998-08-11"
196,10574,"Custom Robo","Nintendo 64",2,205,205,205,40,0,"3D Arena Battler RPG","Noise","Nintendo","1999-12-08"
197,30934,"~Hack~ Banjo-Kazooie: Bubbling Bog Brewery Redone","Nintendo 64",2,204,204,204,7,0,"3D Platforming, Collect-a-thon","Hacker - Kurko Mods","Hack - Banjo-Kazooie","2023-10-31"
198,16228,"~Hack~ SimpleFlips' 8th Hacking Competition: Creepypasta","Nintendo 64",2,199,199,199,53,0,"3D Platforming","Various","Hack - Super Mario 64","2019-05-20"
199,19485,"~Hack~ Banjo-Kazooie: Cheato's Challenges","Nintendo 64",2,198,198,198,16,0,"3D Platforming, Collect-a-thon","","Hack - Banjo-Kazooie","2022-03-01"
200,36253,"~Hack~ Mario Adventure 2","Nintendo 64",2,196,196,196,137,0,"","aglab2","","2025-10-17"
