rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
145,30317,"X-Men: Next Dimension","GameCube",16,110,110,110,99,0,"3D Fighting","Paradox Development","Activision","2002-10-15"
146,34511,"~Hack~ Pikmin 2: Regrown","GameCube",16,105,105,105,74,0,"","Rakton, Regrown Team","","2024-08-27"
147,30211,"One Piece: Grand Battle","GameCube",16,104,104,104,50,0,"","Ganbarion","","2005-03-17"
148,25485,"Ultimate Muscle: Legends vs. New Generation","GameCube",16,98,98,98,36,0,"Sports - Wrestling","AKI | syn Sophia","Bandai","2002-11-22"
149,30330,"Naruto: Gekitou Ninja Taisen! 4","GameCube",16,95,95,95,135,0,"3D Fighting","Raizing | Eighting","Tomy","2005-11-21"
150,25499,"Battle Stadium D.O.N","GameCube",16,94,94,94,121,0,"Platform Fighting","Raizing | Eighting","Bandai","2006-07-20"
151,30329,"Naruto: Gekitou Ninja Taisen! 3","GameCube",16,90,90,90,93,0,"3D Fighting","Raizing | Eighting","Tomy","2004-11-20"
152,30281,"Zatch Bell! Mamodo Fury","GameCube",16,90,90,90,53,0,"","Mechanic Arms","","2006-09-19"
153,25423,"Aquaman: Battle of Atlantis","GameCube",16,85,85,85,35,0,"Action-Adventure","Lucky Chicken","TDK Mediactive","2003-07-23"
154,1362,"Baten Kaitos Origins","GameCube",16,82,82,82,177,0,"Turn-Based RPG, Collectible Card Game","Monolith Soft","Nintendo","2006-02-23"
155,25477,"Swingerz Golf","GameCube",16,76,76,76,244,0,"","","","2002-10-23"
156,28378,"~Homebrew~ Xeno Crisis","GameCube",16,73,73,73,64,0,"Twin Stick Shooter","Bitmap Bureau","Bitmap Bureau","2023-04-01"
157,30396,"NHL Hitz 20-02","GameCube",16,73,73,73,28,0,"","EA Black Box","Midway","2001-09-27"
158,29779,"~Hack~ Pikmin 216","GameCube",16,72,72,72,67,0,"","Teddiursayoshi","","2023-12-31"
159,29173,"Rogue Ops","GameCube",16,67,67,67,35,0,"Stealth","Bits Studios","Kemco","2003-10-28"
160,32108,"~Hack~ SpongeBob and the Pit of 100 Trials","GameCube",16,66,66,66,11,0,"3D Platforming","Gravity","","2023-08-02"
161,31898,"~Hack~ Super Doot Sunshine","GameCube",16,52,52,52,345,0,"3D Platforming, Collect-a-thon","warspyking","Hack - Super Mario Sunshine","2023-09-25"
162,30342,"Black & Bruised","GameCube",16,52,52,52,62,0,"Sports - Boxing","Digital Fiction","Majesco Entertainment","2003-01-28"
163,6958,"Tomb Raider: Legend","GameCube",16,49,49,49,47,0,"Action-Adventure, Cinematic Platforming","Nixxes Software","Eidos Interactive","2006-11-14"
164,30473,"Cocoto Funfair","GameCube",16,45,45,45,14,0,"Gallery Shooter","Neko Entertainment","Bigben Interactive","2006-04-07"
165,30543,"Muppets Party Cruise","GameCube",16,45,45,45,79,0,"Party, Board Game","Mass Media","TDK Mediactive","2003-11-13"
166,33481,"~Hack~ Bad-Boon Strikes Back v4.0","GameCube",16,44,44,44,51,0,"3D Platforming","KartingKoopa","Hack - Super Monkey Ball 2","2023-08-12"
167,31185,"~Hack~ dart monkey 1.5143","GameCube",16,37,37,37,27,0,"3D Platforming","SHK","Hack - Super Monkey Ball 2","2024-04-01"
168,32112,"~Hack~ Floating Block Forever","GameCube",16,28,28,28,13,0,"3D Platforming","Eyepie","","2023-03-13"
169,30888,"~Hack~ Resident Evil 2: Zombie Crisis","GameCube",16,27,27,27,32,0,"","Hunter Beta2","Hack - Resident Evil 2","2021-05-28"
170,28264,"Super Bubble Pop","GameCube",16,27,27,27,40,0,"","Runecraft","Jaleco","2003-01-03"
171,25448,"Judge Dredd: Dredd vs. Death","GameCube",16,25,25,25,65,0,"First-Person Shooter","Rebellion","Evolved Games","2003-12-12"
172,36636,"~Hack~ Metroid Prime: Double Trouble","GameCube",16,16,16,16,34,0,"Metroidvania, 3D Platforming, First-Person Shooter","Fantaselion","Hack - Metroid Prime","2021-06-01"
173,30122,"Metal Gear Solid: The Twin Snakes - Special Disc","GameCube",16,13,13,13,43,0,"Stealth","Konami","Konami","2004-03-11"
