gameId,gameTitle,md5,romName,labels,patchUrl,region,romFile,romSize
1580,Bionic Commando,cc2e2aa46f56efa41c95ab81de7e05fd,Bionic Commando (USA).nes,nointro,,usa,Bionic Commando (USA).zip,149308
1657,Donkey Kong 3,a2b5bddb4c7a5a39c8fac13e64494c9a,Donkey Kong 3 (World).nes,nointro,,world,Donkey Kong 3 (World).zip,16561
2073,Where's Waldo?,a54e0acfe88fff67cb9dd5a94ac503ff,Where's Waldo (USA).nes,nointro,,usa,Where's Waldo (USA).zip,129162
1481,Lode Runner,befd5d05eb33f984994230546c2bcfa3,Lode Runner (USA).nes,nointro,,usa,Lode Runner (USA).zip,16630
1547,Astyanax,94eafd1d52c7296cd5b9dad6316e5976,Astyanax (USA).nes,nointro,,usa,Astyanax (USA).zip,138194
1597,The Bugs Bunny Crazy Castle,6bc8f54dc358aa35f6259715e5143b37,"Bugs Bunny Crazy Castle, The (USA).nes",nointro,,usa,"Bugs Bunny Crazy Castle, The (USA).zip",36779
5790,Astérix,87cf2dbd01609ed6fff6a1a022f41c72,"Asterix (Europe) (En,Fr,De,Es,It).nes",nointro,,europe,"Asterix (Europe) (En,Fr,De,Es,It).zip",84705
1728,Gun Nac,2b5c0dae29650691e67a08ea58f554e2,Gun Nac (USA).nes,nointro,,usa,Gun Nac (USA).zip,135329
4559,Batman: Return of the Joker,830111df30b8511562d4faca6aeb792d,Batman - Return of the Joker (USA).nes,nointro,,usa,Batman - Return of the Joker (USA).zip,206333
1843,Monster In My Pocket,ac30d59eab5e2240eb5c6c53f41ec49b,Monster in My Pocket (USA).nes,nointro,,usa,Monster in My Pocket (USA).zip,145680
1682,Faxanadu,28eb470f84bcd54320fa890003d26402,Faxanadu (USA) (Rev 1).nes,nointro,,usa,Faxanadu (USA) (Rev 1).zip,142323
16549,Pac-Man: Championship Edition,ee8bc8baed5b9c5299e84e80e6490de6,"Pac-Man - Championship Edition (USA, Europe) (Namco Museum Archives Vol 1).nes",nointro,,usa,"Pac-Man - Championship Edition (USA, Europe) (Namco Museum Archives Vol 1).zip",64491
1459,Blaster Master,12b0dbc4f2b22a50d0bb53c4929217f0,Blaster Master (USA).nes,nointro,,usa,Blaster Master (USA).zip,158378
1470,Dragon Quest II,ccdb4563c9004d862dcf3a98c7937c22,Dragon Warrior II (USA).nes,nointro,,usa,Dragon Warrior II (USA).zip,127655
1871,Panic Restaurant,2becf8af763509ccfc9f515dbb503433,Panic Restaurant (USA).nes,nointro,,usa,Panic Restaurant (USA).zip,132036
2014,Tecmo Super Bowl,f7d01adf9c430ef3db055466ecc18f58,Tecmo Super Bowl (USA).nes,nointro,,usa,Tecmo Super Bowl (USA).zip,213032
1552,Back to the Future,a14e90da461526694c0620ce040eb169,Back to the Future (USA).nes,nointro,,usa,Back_to_the_Future.zip,36525
1632,Contra Force,2f2cb4ec9936d23f370f9991e84cce98,Contra Force (USA).nes,nointro,,usa,Contra_Force.zip,166533
1654,Dig Dug II: Trouble In Paradise,328b2c34d156e1c310495aebb7bf987c,Dig Dug II - Trouble in Paradise (USA).nes,nointro,,usa,Dig Dug II - Trouble in Paradise (USA).zip,25474
8617,~Test Kit~ NES Control Deck Test Cartridge,51d17a6f9eeb0f8ced992de5df979e92,Nintendo World Class Service - Control Deck Test Cartridge (USA) (Test Program).nes,nointro,,usa,Nintendo World Class Service - Control Deck Test Cartridge (USA) (Test Program).zip,5454
1527,Adventures in the Magic Kingdom,c1eda7b38bd8fb314285ddcc766a2458,Adventures in the Magic Kingdom (USA).nes,nointro,,usa,Adventures in the Magic Kingdom (USA).zip,135357
