rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
57,11983,"Armored Warriors","Arcade",27,1630,1630,1630,26,0,"Beat 'em Up","Capcom","Capcom","1994-10-24"
58,12084,"Dungeons & Dragons: Tower of Doom","Arcade",27,1629,1629,1629,30,0,"Beat 'em Up","Capcom","Capcom","1994-01-01"
59,12601,"Ghost Pilots","Arcade",27,1608,1608,1608,32,0,"Shoot 'em Up","SNK","SNK","1991-01-25"
60,11767,"Shock Troopers","Arcade",27,1559,1559,1559,55,0,"","Saurus","SNK","1997-11-01"
61,11794,"Mega Man: The Power Battle","Arcade",27,1557,1557,1557,60,0,"2D Fighting","Capcom","Capcom","1995-10-06"
62,13648,"Battle Garegga","Arcade",27,1525,1525,1525,30,0,"Shoot 'em Up","Raizing | Eighting","Raizing | Eighting","1996-02-01"
63,11801,"Blue's Journey","Arcade",27,1523,1523,1523,97,0,"2D Platforming","ADK","ADK","1991-03-01"
64,12183,"Hook","Arcade",27,1505,1505,1505,89,0,"Beat 'em Up","Irem","Irem","1992-12-01"
65,11765,"Baseball Stars 2","Arcade",27,1504,1504,1504,43,0,"Sports - Baseball","SNK","SNK","1992-04-01"
66,11780,"Dungeons & Dragons: Shadow Over Mystara","Arcade",27,1503,1503,1503,51,0,"Beat 'em Up","Capcom","Capcom","1996-02-01"
67,12366,"RoboCop","Arcade",27,1501,1501,1501,43,0,"","Data East","Data East","1988-01-01"
68,13794,"Mutation Nation","Arcade",27,1487,1487,1487,29,0,"Beat 'em Up","SNK","SNK","1992-03-01"
69,14978,"Mortal Kombat II","Arcade",27,1486,1486,1486,43,0,"2D Fighting","Midway","Midway","1993-04-03"
70,12023,"Bubble Bobble","Arcade",27,1453,1453,1453,91,0,"2D Platforming","Taito","Electrocoin, Romstar, Taito","1986-09-01"
71,11959,"64th. Street: A Detective Story","Arcade",27,1448,1448,1448,15,0,"Beat 'em Up","C.P. Brain","Jaleco","1991-01-01"
72,11768,"Shock Troopers: 2nd Squad","Arcade",27,1434,1434,1434,45,0,"","Saurus","Saurus","1998-10-01"
73,11993,"Battle Circuit","Arcade",27,1423,1423,1423,48,0,"Beat 'em Up","Capcom","Capcom","1997-03-19"
74,13808,"Robo Army","Arcade",27,1418,1418,1418,26,0,"Beat 'em Up","SNK","SNK","1991-10-30"
75,12032,"The King of Fighters '99: Millennium Battle","Arcade",27,1406,1406,1406,74,0,"2D Fighting","SNK","SNK","1999-07-22"
76,17678,"Spider-Man: The Videogame","Arcade",27,1388,1388,1388,9,0,"Beat 'em Up","Sega","Sega","1991-09-01"
77,11853,"Shinobi","Arcade",27,1349,1349,1349,28,0,"","Sega","Sega","1987-11-01"
78,13784,"King of the Monsters","Arcade",27,1347,1347,1347,49,0,"Fighting (Kaiju, Wrestling)","SNK","SNK","1991-02-01"
79,14654,"Ultimate Mortal Kombat 3","Arcade",27,1334,1334,1334,65,0,"2D Fighting","Midway","Midway","1995-11-06"
80,11946,"Mario Bros.","Arcade",27,1329,1329,1329,22,0,"2D Platforming","","Nintendo","1983-07-14"
81,12261,"Street Fighter","Arcade",27,1320,1320,1320,39,0,"2D Fighting","Capcom","Capcom","1987-08-30"
82,12380,"Strikers 1945","Arcade",27,1301,1301,1301,39,0,"Shoot 'em Up","Psikyo","Psikyo","1995-01-01"
83,12139,"Galaxian","Arcade",27,1296,1296,1296,24,0,"Shoot 'em Up","Namco","Midway","1979-10-01"
84,15015,"Centipede","Arcade",27,1290,1290,1290,40,0,"Shoot 'em Up","Atari","Atari","1981-06-15"
85,12005,"Detana!! TwinBee","Arcade",27,1290,1290,1290,40,0,"Shoot 'em Up","Konami","Konami","1991-02-01"
