rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
98,29687,"~Homebrew~ The Best Text Adventure","Game Boy Color",6,314,314,314,9,0,"Text Adventure","Stephen Allen, Matte Trucks","Shining Kitten Games","2023-01-01"
99,26399,"Käpt'n Blaubär: Die verrückte Schatzsuche","Game Boy Color",6,313,313,313,18,0,"","Shin'en Multimedia","Ravensburger Interactive Media","2001-01-10"
100,28796,"~Homebrew~ Days Without","Game Boy Color",6,308,308,308,8,0,"Survival Horror","Elvies","Elvies","2023-01-01"
101,4125,"Metal Walker","Game Boy Color",6,303,303,303,27,0,"","Capcom","Capcom","2001-02-06"
102,4100,"Azure Dreams","Game Boy Color",6,300,300,300,55,0,"Roguelike","Konami","Konami","1999-08-05"
103,29578,"Trip World DX","Game Boy Color",6,300,300,300,35,0,"2D Platforming","Limited Run Games, Sunsoft","Limited Run Games","2023-11-30"
104,29790,"~Homebrew~ My Saturday Grounded","Game Boy Color",6,292,292,292,6,0,"Adventure","Tustin2121","itch.io","2021-09-28"
105,8926,"~Unlicensed~ Terrifying 911","Game Boy Color",6,292,292,292,29,0,"Run & Gun","Hitek","Hitek / Li Cheng","2002-01-01"
106,17429,"~Hack~ Pokémon Gold 97: Reforged | Pokémon Silver 97: Reforged","Game Boy Color",6,280,280,280,28,0,"Turn-Based RPG","SourApple","Hack - Pokemon Crystal Version","2020-12-29"
107,6342,"NSYNC: Get to the Show","Game Boy Color",6,280,280,280,16,0,"Minigames","Stunt Puppy Entertainment","Infogrames","2001-12-13"
108,3632,"Dexter's Laboratory: Robot Rampage","Game Boy Color",6,276,276,276,26,0,"Action","Altron","Bay Area Multimedia","2000-11-14"
109,4702,"Die Original Moorhuhnjagd","Game Boy Color",6,276,276,276,12,0,"Gallery Shooter","Witan Entertainment BV","Ravensburger","2000-11-08"
110,29774,"~Homebrew~ Borbo's Quest","Game Boy Color",6,272,272,272,9,0,"Adventure","FrogSoft","FrogSoft","2020-12-20"
111,8497,"Mortal Kombat 4","Game Boy Color",6,272,272,272,26,0,"2D Fighting","Digital Eclipse","Midway","1998-12-12"
112,5155,"Harvest Moon 2 GBC","Game Boy Color",6,260,260,260,53,0,"Life Simulation","Marvelous Interactive","Natsume","1999-08-16"
