rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released
115,1274,"Tom and Jerry","SNES/Super Famicom",3,2001,2001,2001,33,0,"2D Platforming","RSP","Hi-Tech Expressions","1993-01-01"
116,605,"Street Fighter Alpha 2","SNES/Super Famicom",3,1977,1977,1977,93,0,"2D Fighting","Capcom","Capcom","1996-11-01"
117,1240,"Super Tennis","SNES/Super Famicom",3,1977,1977,1977,43,0,"Sports - Tennis","Tokyo Shoseki","Nintendo, Tonkin House","1991-08-30"
118,399,"Super Double Dragon","SNES/Super Famicom",3,1973,1973,1973,14,0,"Beat 'em Up","Technōs Japan","Tradewest","1992-10-16"
119,450,"Breath of Fire II","SNES/Super Famicom",3,1957,1957,1957,87,0,"","Capcom","Capcom","1995-01-01"
120,268,"Toy Story","SNES/Super Famicom",3,1926,1926,1926,31,0,"2D Platforming","Traveller's Tales","Disney Interactive Studios","1995-12-01"
121,1229,"Super R-Type","SNES/Super Famicom",3,1923,1923,1923,40,0,"Shoot 'em Up","Irem","Irem","1991-09-01"
122,3248,"Run Saber","SNES/Super Famicom",3,1919,1919,1919,22,0,"2D Platforming","Horisoft","Atlus","1993-06-08"
123,989,"Lamborghini American Challenge","SNES/Super Famicom",3,1910,1910,1910,76,0,"Racing","Titus Interactive","Titus Interactive","1993-01-01"
124,380,"Alien vs. Predator","SNES/Super Famicom",3,1898,1898,1898,23,0,"","Jorudan","Activision","1993-09-01"
125,888,"Earthworm Jim 2","SNES/Super Famicom",3,1876,1876,1876,47,0,"2D Platforming","Shiny Entertainment","Playmates Interactive Entertainment","1995-11-15"
126,7886,"Cyber Citizen Shockman Zero","SNES/Super Famicom",3,1868,1868,1868,34,0,"2D Platforming","","","1997-03-20"
127,3409,"Raiden Trad","SNES/Super Famicom",3,1860,1860,1860,64,0,"Shoot 'em Up","Seibu Kaihatsu","Electro Brain","1992-04-01"
128,306,"Mickey Mania: The Timeless Adventures of Mickey Mouse","SNES/Super Famicom",3,1820,1820,1820,20,0,"2D Platforming","Traveller's Tales","Sony Imagesoft","1994-01-01"
129,1113,"Prince of Persia","SNES/Super Famicom",3,1776,1776,1776,40,0,"Cinematic Platforming","Arsys Software","Konami","1992-01-11"
130,1146,"Saturday Night Slam Masters","SNES/Super Famicom",3,1776,1776,1776,39,0,"Sports - Wrestling","Capcom","Capcom","1994-03-30"
131,3228,"Mario's Early Years: Fun With Letters","SNES/Super Famicom",3,1775,1775,1775,17,0,"Educational","The Software Toolworks","Nintendo","1994-10-01"
132,1016,"Marvel Super Heroes: War of the Gems","SNES/Super Famicom",3,1773,1773,1773,84,0,"2D Platforming","Capcom","Capcom","1996-11-01"
133,3351,"Panel de Pon","SNES/Super Famicom",3,1763,1763,1763,51,0,"","Intelligent Systems","Nintendo","1995-10-27"
134,1278,"Top Gear 3000","SNES/Super Famicom",3,1757,1757,1757,40,0,"Racing","Gremlin Graphics","Kemco","1995-02-01"
135,12736,"~Hack~ Super Mario World: Learn 2 Kaizo","SNES/Super Famicom",3,1748,1748,1748,76,0,"2D Platforming, Educational","NeXuS15","Hack - Super Mario World","2017-09-20"
136,395,"Axelay","SNES/Super Famicom",3,1662,1662,1662,46,0,"Shoot 'em Up","Konami","Konami","1992-09-11"
137,440,"Bonkers","SNES/Super Famicom",3,1651,1651,1651,21,0,"2D Platforming","Capcom","Capcom","1994-12-15"
138,3229,"Mario's Early Years: Fun With Numbers","SNES/Super Famicom",3,1649,1649,1649,12,0,"Educational","The Software Toolworks","Nintendo","1994-09-01"
139,393,"Astérix & Obélix","SNES/Super Famicom",3,1641,1641,1641,86,0,"2D Platforming","Bit Managers","Infogrames","1995-09-28"
140,929,"The Great Waldo Search","SNES/Super Famicom",3,1617,1617,1617,15,0,"Hidden Object","Radiance Software","THQ","1992-01-01"
141,1386,"Final Fantasy V","SNES/Super Famicom",3,1597,1597,1597,116,0,"","Square","Squaresoft","1992-12-06"
142,1361,"Ghost Sweeper Mikami: Joreishi wa Nice Body","SNES/Super Famicom",3,1596,1596,1596,18,0,"2D Platforming","Banirex","Natsume","1993-09-23"
143,1174,"Sparkster","SNES/Super Famicom",3,1571,1571,1571,73,0,"","Konami","Konami","1994-09-15"
144,9784,"~Hack~ New Super Mario World 1: The Twelve Magic Orbs","SNES/Super Famicom",3,1545,1545,1545,58,0,"2D Platforming","Pink Gold Peach","Hack - Super Mario World","2016-08-29"
145,1261,"Thomas the Tank Engine & Friends","SNES/Super Famicom",3,1521,1521,1521,8,0,"Educational","Software Creations","THQ","1993-09-01"
146,4737,"The Firemen","SNES/Super Famicom",3,1520,1520,1520,16,0,"Action-Adventure","Human Entertainment","Human Entertainment","1995-03-01"
147,1295,"Uniracers","SNES/Super Famicom",3,1520,1520,1520,24,0,"Racing","Rockstar North","Nintendo","1994-06-01"
148,366,"Addams Family Values","SNES/Super Famicom",3,1509,1509,1509,57,0,"","Ocean Software","Ocean Software","1995-02-01"
149,926,"Gods","SNES/Super Famicom",3,1488,1488,1488,32,0,"2D Platforming","The Bitmap Brothers","Mindscape","1992-12-01"
150,2905,"Cannon Fodder","SNES/Super Famicom",3,1474,1474,1474,52,0,"Action, Strategy","Sensible Software","Virgin Interactive","1994-01-01"
151,2602,"Majuuou","SNES/Super Famicom",3,1467,1467,1467,46,0,"","Nippon Ichi Software","KSS","1995-08-25"
152,555,"Shin Kidou Senki Gundam W: Endless Duel","SNES/Super Famicom",3,1451,1451,1451,25,0,"2D Fighting","Natsume","Bandai","1996-01-01"
153,1215,"Super E.D.F.: Earth Defense Force","SNES/Super Famicom",3,1430,1430,1430,29,0,"Shoot 'em Up","Jaleco","Jaleco","1991-10-25"
154,1244,"Super Valis IV","SNES/Super Famicom",3,1422,1422,1422,26,0,"Action","Telenet Japan","Razorsoft","1992-03-27"
155,3230,"Mario's Early Years: Preschool Fun","SNES/Super Famicom",3,1414,1414,1414,15,0,"Educational","The Software Toolworks","Nintendo","1994-11-01"
156,2817,"Super Buster Bros.","SNES/Super Famicom",3,1410,1410,1410,66,0,"Action","Capcom","Capcom","1992-01-01"
157,1037,"Monopoly","SNES/Super Famicom",3,1405,1405,1405,29,0,"Board Game","Sculptured Software | Iguana West","Parker Brothers","1991-01-01"
158,443,"Brain Lord","SNES/Super Famicom",3,1404,1404,1404,50,0,"Action RPG","Produce!","Enix","1994-01-29"
159,374,"Aero the Acro-Bat","SNES/Super Famicom",3,1392,1392,1392,126,0,"2D Platforming","Iguana Entertainment","Sunsoft","1993-10-01"
160,1391,"Trials of Mana","SNES/Super Famicom",3,1392,1392,1392,100,0,"","Square","Squaresoft","1995-09-30"
161,1150,"Shaq-Fu","SNES/Super Famicom",3,1373,1373,1373,31,0,"2D Fighting","Delphine Software International","Electronic Arts, Playtronic","1994-10-28"
162,1099,"Pitfall: The Mayan Adventure","SNES/Super Famicom",3,1353,1353,1353,58,0,"2D Platforming","Redline Games","Activision","1994-11-01"
163,1158,"The Simpsons: Bart's Nightmare","SNES/Super Famicom",3,1333,1333,1333,25,0,"2D Platforming","Sculptured Software | Iguana West","Acclaim","1992-01-01"
164,9790,"Dr. Mario","SNES/Super Famicom",3,1331,1331,1331,78,0,"","","Nintendo","1998-06-01"
165,3234,"The Mask","SNES/Super Famicom",3,1304,1304,1304,26,0,"2D Platforming","Black Pearl","Black Pearl","1995-10-01"
166,412,"Barbie: Super Model","SNES/Super Famicom",3,1302,1302,1302,7,0,"Action","Tahoe Software Productions","Hi-Tech Expressions","1993-12-01"
167,16121,"~Hack~ New Super Mario World 2: Around the World","SNES/Super Famicom",3,1298,1298,1298,45,0,"2D Platforming","Pink Gold Peach","Hack - Super Mario World","2019-01-01"
168,967,"Judge Dredd","SNES/Super Famicom",3,1295,1295,1295,43,0,"2D Platforming","Probe Entertainment","Acclaim","1995-06-16"
169,993,"Lemmings","SNES/Super Famicom",3,1280,1280,1280,123,0,"Puzzle","Sunsoft","Sunsoft","1991-12-18"
170,2345,"~Hack~ The Legend of Zelda: Parallel Worlds","SNES/Super Famicom",3,1277,1277,1277,100,0,"Action-Adventure","Seph, Euclid, Richyawyingtmv","Hack - The Legend of Zelda: A Link to the Past","2006-12-31"
171,3374,"The Pirates of Dark Water","SNES/Super Famicom",3,1255,1255,1255,21,0,"Beat 'em Up","Sunsoft","Sunsoft","1994-05-01"
172,1302,"Ys III: Wanderers from Ys","SNES/Super Famicom",3,1251,1251,1251,46,0,"","Nihon Falcom","Sammy","1992-01-01"
173,8702,"Strike Gunner S.T.G","SNES/Super Famicom",3,1247,1247,1247,21,0,"Shoot 'em Up","Athena","NTV International","1992-01-01"
174,949,"Inspector Gadget","SNES/Super Famicom",3,1242,1242,1242,7,0,"2D Platforming","","Hudson Soft","1993-12-01"
175,940,"Hook","SNES/Super Famicom",3,1221,1221,1221,21,0,"Action-adventure","Ukiyotei","Sony Imagesoft","1992-07-17"
176,627,"Dragon: The Bruce Lee Story","SNES/Super Famicom",3,1219,1219,1219,38,0,"2D Fighting","Virgin Interactive","Acclaim, Virgin Interactive","1995-01-01"
177,1392,"Star Ocean","SNES/Super Famicom",3,1213,1213,1213,67,0,"Action RPG","tri-Ace","Enix","1996-07-19"
178,1424,"Super Star Wars: The Empire Strikes Back","SNES/Super Famicom",3,1195,1195,1195,46,0,"2D Platforming, Action","LucasArts | Lucasfilm","JVC, THQ","1993-06-01"
179,1210,"Super Bowling","SNES/Super Famicom",3,1186,1186,1186,20,0,"Sports - Bowling","Athena, Technos Japan","Technos Japan","1992-07-03"
180,1102,"Pocky & Rocky 2","SNES/Super Famicom",3,1176,1176,1176,85,0,"","Natsume","Natsume","1994-06-17"
181,429,"Beethoven's 2nd","SNES/Super Famicom",3,1169,1169,1169,10,0,"2D Platforming","Riedel Software Productions","Hi-Tech Expressions","1993-12-01"
182,8463,"~Hack~ Mega Man X3: Zero Project","SNES/Super Famicom",3,1168,1168,1168,76,0,"Action / Platforming","Justin3009","Hack - Mega Man X3","2012-01-31"
183,2865,"~Hack~ A Plumber For All Seasons","SNES/Super Famicom",3,1165,1165,1165,76,0,"2D Platforming","WhiteYoshiEgg","Hack - Super Mario World","2021-07-06"
184,1346,"Yoshi's Cookie","SNES/Super Famicom",3,1148,1148,1148,77,0,"Tile Matching","TOSE","Bullet-Proof Software","1993-06-01"
185,3808,"Super Off Road","SNES/Super Famicom",3,1147,1147,1147,59,0,"Racing","Leland","Virgin Interactive","1991-12-01"
186,6231,"Dragon Quest III: Soshite Densetsu e...","SNES/Super Famicom",3,1143,1143,1143,97,0,"Turn-Based RPG","Heartbeat","Enix","1996-12-06"
187,1353,"Pinocchio","SNES/Super Famicom",3,1141,1141,1141,37,0,"2D Platforming","Virgin Interactive","Nintendo","1996-11-01"
188,968,"The Jungle Book","SNES/Super Famicom",3,1125,1125,1125,21,0,"2D Platforming","Virgin Interactive","Virgin Interactive","1994-07-15"
189,1213,"Super Chase H.Q.","SNES/Super Famicom",3,1123,1123,1123,28,0,"Racing","Taito","Taito","1993-12-01"
190,1354,"Tiny Toon Adventures: Wacky Sports Challenge","SNES/Super Famicom",3,1123,1123,1123,59,0,"Sports","Konami","Konami","1994-09-30"
191,1040,"Mr. Do!","SNES/Super Famicom",3,1122,1122,1122,20,0,"Maze Chase","C-Lab","Black Pearl","1996-12-01"
192,1180,"Venom and Spider-Man: Separation Anxiety","SNES/Super Famicom",3,1120,1120,1120,50,0,"Beat 'em Up","Software Creations","Acclaim","1995-11-01"
193,3226,"Mario is Missing!","SNES/Super Famicom",3,1115,1115,1115,36,0,"Educational","Software Toolworks","Mindscape, Software Toolworks","1993-06-01"
194,3363,"Picross NP Vol. 2","SNES/Super Famicom",3,1115,1115,1115,27,0,"Nonogram","Jupiter","Nintendo","1999-06-01"
195,3166,"Krusty's Super Fun House","SNES/Super Famicom",3,1113,1113,1113,82,0,"","Audiogenic","Acclaim","1992-06-01"
196,1197,"Super Adventure Island II","SNES/Super Famicom",3,1106,1106,1106,49,0,"2D Platforming","Make Software","Hudson Soft","1995-01-03"
197,911,"Firepower 2000","SNES/Super Famicom",3,1102,1102,1102,34,0,"Shoot 'em Up","SCi Games | Sales Curve Interactive","Sunsoft","1992-01-01"
198,8249,"~Hack~ Donkey Kong Country: Competition Edition [10 Minutes]","SNES/Super Famicom",3,1097,1097,1097,38,0,"2D Platforming","Hack","Hack - Donkey Kong Country","1994-11-21"
199,1287,"The Twisted Tales of Spike McFang","SNES/Super Famicom",3,1082,1082,1082,46,0,"Action RPG","Red Company","Naxat Soft","1994-06-01"
200,3206,"Magic Knight Rayearth","SNES/Super Famicom",3,1072,1072,1072,17,0,"Turn-Based RPG","Pandora Box","Tomy","1995-09-29"
