rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
14,3185,Burnout Legends,PlayStation Portable,41,3496,3496,3496,118,0,Arcade Racing,Criterion Games,Electronic Arts,2005-09-13,This is a list of video game remakes and remasters and includes remakes as well as remasters of video games. It does not include clones and enhanced ports.,https://media.retroachievements.org/Images/059681.png,https://media.retroachievements.org/Images/048414.png,https://media.retroachievements.org/Images/059709.png,https://media.retroachievements.org/Images/059711.png,4.7
15,3891,Shin Megami Tensei: Persona,PlayStation Portable,41,3222,3222,3222,118,0,Turn-Based RPG,Atlus,Atlus,2009-04-29,"Persona, previously marketed as Shin Megami Tensei: Persona outside of Japan, is a video game franchise primarily developed by Atlus and owned by Sega. Centered around a series of Japanese role-playing video games, Persona is a spin-off from Atlus' Megami Tensei franchise. The first entry in the series, Revelations: Persona, was released in 1996 for the PlayStation. The series has seen several more games since, with the most recent main entry being 2024's Persona 3 Reload, a remake of the 2006 game Persona 3.",https://media.retroachievements.org/Images/077388.png,https://media.retroachievements.org/Images/053386.png,https://media.retroachievements.org/Images/053385.png,https://media.retroachievements.org/Images/053384.png,4.7
16,3509,Jeanne D'Arc,PlayStation Portable,41,2964,2964,2964,90,0,Tactical RPG,Level-5,Sony Computer Entertainment,2006-11-22,"Joan of Arc is a patron saint of France, honored as a defender of the French nation for her role in the siege of Orléans and her insistence on the coronation of Charles VII of France during the Hundred Years' War. Claiming to be acting under divine guidance, she became a military leader who gained recognition as a savior of France.",https://media.retroachievements.org/Images/049641.png,https://media.retroachievements.org/Images/046840.png,https://media.retroachievements.org/Images/046843.png,https://media.retroachievements.org/Images/046841.png,4.7
17,10533,Metal Gear Solid: Peace Walker,PlayStation Portable,41,2918,2918,2918,106,0,Action-Adventure,Kojima Productions,Konami,2010-04-29,"Metal Gear Solid: Peace Walker is a 2010 stealth game developed by Kojima Productions and published by Konami. It is the seventh Metal Gear game written, directed, and designed by Hideo Kojima, and the fifth installment of the Metal Gear Solid series, as well as the fourth Metal Gear game made specifically for the PlayStation Portable, following Metal Gear Solid: Portable Ops. A remastered version of the game titled Metal Gear Solid: Peace Walker — HD Edition was later released for the PlayStation 3 and Xbox 360 as part of the Metal Gear Solid HD Collection in North America and Europe and as a stand-alone retail release in Japan. The HD Edition of the game will be included in the Metal Gear Solid: Master Collection Vol. 2 compilation for Nintendo Switch, Nintendo Switch 2, PlayStation 5, Windows, and Xbox Series X/S on August 27, 2026.",https://media.retroachievements.org/Images/103151.png,https://media.retroachievements.org/Images/046912.png,https://media.retroachievements.org/Images/046915.png,https://media.retroachievements.org/Images/118054.png,4.7
18,3215,Final Fantasy,PlayStation Portable,41,2896,2896,2896,57,0,,Square Enix,Square Enix,2007-04-19,"Final Fantasy is a 1987 role-playing video game developed and published by Square for the Nintendo Entertainment System. It is the first game in Square's Final Fantasy series, created by Hironobu Sakaguchi. The story follows four youths called the Warriors of Light, who each carry one of their world's four elemental crystals which have been darkened by the four Elemental Fiends. Together, they quest to defeat these evil forces, restore light to the crystals, and save their world.",https://media.retroachievements.org/Images/070784.png,https://media.retroachievements.org/Images/047908.png,https://media.retroachievements.org/Images/048785.png,https://media.retroachievements.org/Images/048786.png,4.7
19,3971,Grand Theft Auto: Vice City Stories,PlayStation Portable,41,2757,2757,2757,189,0,"Action-Adventure, Sandbox","Rockstar Leeds, Rockstar North",Rockstar Games,2006-10-31,"Grand Theft Auto: Vice City Stories is a 2006 action-adventure game developed by Rockstar Leeds and Rockstar North, and published by Rockstar Games. The tenth entry in the Grand Theft Auto series, the game was initially released as a PlayStation Portable exclusive in October 2006. A PlayStation 2 port was released in March 2007. Set within the fictional Vice City in 1984, the game is a prequel to 2002's Grand Theft Auto: Vice City and follows the exploits of ex-soldier Victor Vic Vance, a minor character originally featured in said game. The story centres around Vic's attempts to build up a criminal empire alongside his brother Lance. With the initial intention of raising money for his sick brother Pete's medication, Vic comes into conflict with rival gangs, drug lords and other enemies.",https://media.retroachievements.org/Images/089903.png,https://media.retroachievements.org/Images/048648.png,https://media.retroachievements.org/Images/064345.png,https://media.retroachievements.org/Images/050445.png,4.7
20,10525,Patapon,PlayStation Portable,41,2695,2695,2695,75,0,Rhythm,Pyramid,Sony Computer Entertainment,2007-09-20,Patapon is a 2007 rhythm video game developed by Pyramid and Japan Studio and published by Sony Computer Entertainment for the PlayStation Portable. The game's unique genre was described to be a combination of rhythm and strategy. Its concept and design were conceived when game designer Hiroyuki Kotani discovered the Patapon designs from French artist Rolito's personal website. The name Patapon was created by Rolito and was inspired by an old French song for children. Kotani chose the name because it sounded similar to marching and drumming. The game was released in Japan in December 2007 and in February 2008 in North America and Europe.,https://media.retroachievements.org/Images/047445.png,https://media.retroachievements.org/Images/047378.png,https://media.retroachievements.org/Images/058365.png,https://media.retroachievements.org/Images/058367.png,4.7
21,3164,Shin Megami Tensei: Persona 3 Portable,PlayStation Portable,41,2646,2646,2646,139,0,Turn-Based RPG,Atlus,Atlus,2010-07-06,"Persona 3, released outside Japan as Shin Megami Tensei: Persona 3, is a 2006 role-playing video game developed by Atlus. It is the fourth main installment in the Persona series, which is part of the larger Megami Tensei franchise. It was originally released for the PlayStation 2 in Japan in 2006 and in North America in 2007. It has received several enhanced re-releases and ports: Persona 3 FES, an extended version featuring a new playable epilogue and other changes, was released for the PlayStation 2 in Japan in 2007 and worldwide in 2008. A PlayStation Portable version, Persona 3 Portable, was released in Japan in 2009, North America in 2010, and Europe in 2011, and ported to the Nintendo Switch, PlayStation 4, Windows, Xbox One and Xbox Series X/S in 2023. Persona 3 Reload, a remake of the core game and epilogue, was released in February 2024 for Windows, PlayStation 4, PlayStation 5, Xbox One and Xbox Series X/S, with a Nintendo Switch 2 release occurring in October 2025.",https://media.retroachievements.org/Images/123004.png,https://media.retroachievements.org/Images/046681.png,https://media.retroachievements.org/Images/036344.png,https://media.retroachievements.org/Images/036345.png,4.7
22,15626,Gran Turismo: The Real Driving Simulator,PlayStation Portable,41,2580,2580,2580,229,0,Racing Simulation,Polyphony Digital,Sony Computer Entertainment,2009-10-01,Gran Turismo is a 1997 sim racing video game developed and published by Sony Computer Entertainment for the PlayStation. It was directed by Kazunori Yamauchi and produced by Shuhei Yoshida. It is the first game in the Gran Turismo series.,https://media.retroachievements.org/Images/115804.png,https://media.retroachievements.org/Images/054876.png,https://media.retroachievements.org/Images/054877.png,https://media.retroachievements.org/Images/054875.png,4.7
23,3738,Phantasy Star Portable,PlayStation Portable,41,2539,2539,2539,86,0,Action RPG,"Sega, Alfa System, Sonic Team",Sega,2008-07-31,"Phantasy Star Portable is an action role-playing game co-developed by Sonic Team and Alfa System, and published by Sega for the PlayStation Portable. Sega released the game to Japan in July 2008, and to other markets in 2009.",https://media.retroachievements.org/Images/053525.png,https://media.retroachievements.org/Images/053523.png,https://media.retroachievements.org/Images/049244.png,https://media.retroachievements.org/Images/053526.png,4.7
24,18128,Dragon Ball Z: Shin Budokai 2 - Another Road,PlayStation Portable,41,2520,2520,2520,86,0,3D Fighting,Dimps,"Atari, Bandai Namco",2007-03-20,"This is a list of games for Sony's PlayStation Portable (PSP) handheld game console made available to download from the PlayStation Store. The ability to download and play these titles has varied among titles between the platforms of PSP, PlayStation Vita (PSV), PlayStation TV (PSTV), PlayStation 4 (PS4), and PlayStation 5 (PS5). Titles released on the latter two are the original games software emulated. If a downloadable PSP game has been purchased for a device released prior to the PS4, the title is automatically added to the user's library on all devices for which there is a release.",https://media.retroachievements.org/Images/089994.png,https://media.retroachievements.org/Images/050045.png,https://media.retroachievements.org/Images/049887.png,https://media.retroachievements.org/Images/049982.png,4.7
25,3165,Castlevania: The Dracula X Chronicles,PlayStation Portable,41,2494,2494,2494,191,0,"Metroidvania, 2D Platforming",Konami,Konami,2007-11-23,"Castlevania: The Dracula X Chronicles is a 2007 platform game developed and published by Konami for the PlayStation Portable. The game is a remake of Castlevania: Rondo of Blood (1993) with 2.5D graphics, and marks the first time that Rondo of Blood was released outside of Japan. The game includes the original Rondo of Blood localized into English, as well as a remastered version of Castlevania: Symphony of the Night (1997). The game was released in North America on October 23, 2007.",https://media.retroachievements.org/Images/085805.png,https://media.retroachievements.org/Images/072411.png,https://media.retroachievements.org/Images/072410.png,https://media.retroachievements.org/Images/072409.png,4.6
27,3214,Assassin's Creed: Bloodlines,PlayStation Portable,41,2232,2232,2232,36,0,,Griptonite Games,Ubisoft,2009-11-17,"Assassin's Creed: Bloodlines is a 2009 action-adventure video game developed by Griptonite Games and published by Ubisoft. It is the second spin-off installment in the Assassin's Creed franchise, and acts as a direct sequel to Assassin's Creed (2007). Beginning shortly after that game's events, Bloodlines follows Altaïr Ibn-LaʼAhad as he travels to Cyprus to eliminate the last remnants of the Templar Order and learn more about their plans. The game also explores Altaïr's relationship with Maria Thorpe, a Templar agent whose life he spared in the first game and who would eventually become his wife.",https://media.retroachievements.org/Images/089689.png,https://media.retroachievements.org/Images/046657.png,https://media.retroachievements.org/Images/064365.png,https://media.retroachievements.org/Images/064364.png,4
28,18174,Spider-Man 3,PlayStation Portable,41,2300,0,0,0,0,Action-Adventure,Vicarious Visions,Activision,2007-10-16,"Spider-Man 3 is a 2007 American superhero film based on the Marvel Comics character Spider-Man. Produced by Columbia Pictures, Marvel Entertainment, and Laura Ziskin Productions, and distributed by Sony Pictures Releasing, it was directed by Sam Raimi from a screenplay he co-wrote with his brother Ivan and Alvin Sargent. It is the final film in Raimi's Spider-Man trilogy (2002–2007). The film stars Tobey Maguire as Peter Parker, alongside Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, James Cromwell, Rosemary Harris, and J. K. Simmons. Set a year after the events of Spider-Man 2, the film follows Peter as he prepares for his future with his girlfriend Mary Jane Watson, while facing the Sandman, Venom, and his vengeful friend Harry Osborn.",https://media.retroachievements.org/Images/100982.png,https://media.retroachievements.org/Images/062402.png,https://media.retroachievements.org/Images/062400.png,https://media.retroachievements.org/Images/062401.png,4
29,23966,FIFA 14,PlayStation Portable,41,6000,0,0,0,0,,,,,"FIFA 14 is a football simulation video game developed by EA Canada and published by Electronic Arts worldwide under the EA Sports label. It was released in September 2013 for the PlayStation 2, PlayStation 3, PlayStation Portable, PlayStation Vita, Xbox 360, Wii, Nintendo 3DS and Windows. It was released as a freemium, under the title FIFA 14 Mobile, for iOS and Android on 23 September 2013 and for Windows Phone 8 on 28 February 2014, although much of the game is inaccessible without an in-app payment. It was a launch title for both the PlayStation 4 and Xbox One in November 2013. The PlayStation 2 version was only released in PAL territories and Spanish-speaking markets, and was the last game released for the system in the Americas. The PlayStation Portable version was only released as a digital download in North America.",https://media.retroachievements.org/Images/118070.png,https://media.retroachievements.org/Images/118069.png,https://s3.retroachievements.org/game/screenshots/947/947350222/d796d901612be2da2ecacc2d85a7ef0479b6db87/backfill-airsqgqv7rgs6FuiaeF-thumbnail.png,https://s3.retroachievements.org/game/screenshots/947/947350222/3bfe86a3f5146a592cfd019b9b078bbdef3d967d/backfill-vdtchntrltd12O6eJM3-thumbnail.png,4
30,18268,FIFA Street 2,PlayStation Portable,41,3000,0,0,0,0,Sports - Football | Soccer,HB Studios,Electronic Arts,2006-02-28,"FIFA Street 2 is the 2006 sequel to the EA Sports video game  FIFA Street. A new ""trick stick beat"" system was introduced and new authentic tricks were also introduced. The game was released for the GameCube, PlayStation 2, Xbox, PlayStation Portable, Nintendo DS, and mobile phones. The player on the game cover is Portugal international Cristiano Ronaldo.",https://media.retroachievements.org/Images/000001.png,https://media.retroachievements.org/Images/050865.png,https://media.retroachievements.org/Images/085442.png,https://media.retroachievements.org/Images/085441.png,4
31,3970,Grand Theft Auto: Liberty City Stories,PlayStation Portable,41,5634,1634,1634,93,0,"Action-Adventure, Sandbox",Rockstar Leeds,Rockstar Games,2005-10-24,"Grand Theft Auto: Liberty City Stories is a 2005 action-adventure game developed in a collaboration between Rockstar Leeds and Rockstar North, and published by Rockstar Games. The ninth installment in the Grand Theft Auto series, it was initially released as a PlayStation Portable exclusive in October 2005. A port for the PlayStation 2 was later released in June 2006. At the time of release, the recommended retail price of the PS2 port was around half the price of the PSP version, because the PS2 version does not feature the custom soundtrack ripping capability of the PSP version. Ports for iOS, Android and Fire OS devices were also released in December 2015, February 2016, and March 2016, respectively.",https://media.retroachievements.org/Images/048626.png,https://media.retroachievements.org/Images/048646.png,https://media.retroachievements.org/Images/048597.png,https://media.retroachievements.org/Images/048598.png,4
32,25899,Pro Evolution Soccer 6,PlayStation Portable,41,4288,2288,2288,67,0,,,,2006-04-27,"Pro Evolution Soccer 6, known as Winning Eleven: Pro Evolution Soccer 2007 in the United States, is a video game developed and published by Konami. Released in 2006 for the PlayStation 2, Xbox 360, and Microsoft Windows platforms and following on the Nintendo DS and PlayStation Portable afterward, Pro Evolution Soccer 6 is the 6th edition of the Pro Evolution Soccer series for the PlayStation 2, 2nd for the PlayStation Portable and 4th for Microsoft Windows. It is the first game to debut on the Nintendo DS and the Xbox 360. The Xbox 360 version features improved graphics, but retains gameplay similar to the other console versions. The edit mode has been stripped down for the Xbox 360 release, due to time restrictions. The graphics engine on the PC does not utilise the next-gen 360 engine but is once more a direct conversion of the PlayStation 2 engine.",https://media.retroachievements.org/Images/100652.png,https://media.retroachievements.org/Images/091566.png,https://media.retroachievements.org/Images/092782.png,https://media.retroachievements.org/Images/092783.png,4.2
