gameId,gameTitle,achievementId,title,description,points,trueRatio,type,author,badgeUrl,numAwarded,numAwardedHardcore,displayOrder,memAddr
10003,Super Mario 64,48638,A New Journey,Grab your first Power Star.,1,1,progression,SamuraiGoroh,https://media.retroachievements.org/Badge/655411.png,47055,27606,1,M:0xH33b266=1_d0xH33b266=0_N:0xH32ddfa!=16_N:0xH32ddfa!=1_0xH32ddfa!=0
10003,Super Mario 64,48639,Ready to Fight Bowser,Grab 8 Power Stars.,3,3,progression,SamuraiGoroh,https://media.retroachievements.org/Badge/655412.png,25961,17886,2,0xH32ddfa>=4_M:0xH33b266=8_d0xH33b266=7
10003,Super Mario 64,48640,Ready to Rematch Bowser,Grab 30 Power Stars.,5,8,progression,SamuraiGoroh,https://media.retroachievements.org/Badge/655413.png,14168,10778,3,0xH32ddfa>=4_M:0xH33b266=30_d0xH33b266=29
10003,Super Mario 64,48641,Lobby at the Top,Grab 50 Power Stars.,10,19,progression,SamuraiGoroh,https://media.retroachievements.org/Badge/655414.png,10890,8573,4,0xH32ddfa>=4_M:0xH33b266=50_d0xH33b266=49
10003,Super Mario 64,48642,Ready for the Final Match,Grab 70 Power Stars.,10,21,progression,SamuraiGoroh,https://media.retroachievements.org/Badge/655415.png,8950,7206,5,0xH32ddfa>=4_M:0xH33b266=70_d0xH33b266=69
10003,Super Mario 64,48643,Full Power,Grab 120 Power Stars.,25,73,,SamuraiGoroh,https://media.retroachievements.org/Badge/655416.png,5839,4907,6,0xH32ddfa>=4_M:0xH33b266=120_d0xH33b266=119
10003,Super Mario 64,48644,Full Course in the Battlefield,Collect all 7 Power Stars in Bob-omb Battlefield.,5,8,,SamuraiGoroh,https://media.retroachievements.org/Badge/655417.png,14314,11194,7,R:0xH32ddf6=0_R:0xH32ddf6>4_0xH32ddfa=9S0xH32ddf6=1_A:d0xM20770f=0_A:d0xN20770f=0_A:d0xO20770f=0_A:d0xP20770f=0_A:d0xQ20770f=0_A:d0xR20770f=0_d0xS20770f=6_A:0xM20770f=0_A:0xN20770f=0_A:0xO20770f=0_A:0xP20770f=0_A:0xQ20770f=0_A:0xR20770f=0_0xS20770f=7S0xH32ddf6=2_A:d0xM20777f=0_A:d0xN20777f=0_A:d0xO20777f=0_A:d0xP20777f=0_A:d0xQ20777f=0_A:d0xR20777f=0_d0xS20777f=6_A:0xM20777f=0_A:0xN20777f=0_A:0xO20777f=0_A:0xP20777f=0_A:0xQ20777f=0_A:0xR20777f=0_0xS20777f=7S0xH32ddf6=3_A:d0xM2077ef=0_A:d0xN2077ef=0_A:d0xO2077ef=0_A:d0xP2077ef=0_A:d0xQ2077ef=0_A:d0xR2077ef=0_d0xS2077ef=6_A:0xM2077ef=0_A:0xN2077ef=0_A:0xO2077ef=0_A:0xP2077ef=0_A:0xQ2077ef=0_A:0xR2077ef=0_0xS2077ef=7S0xH32ddf6=4_A:d0xM20785f=0_A:d0xN20785f=0_A:d0xO20785f=0_A:d0xP20785f=0_A:d0xQ20785f=0_A:d0xR20785f=0_d0xS20785f=6_A:0xM20785f=0_A:0xN20785f=0_A:0xO20785f=0_A:0xP20785f=0_A:0xQ20785f=0_A:0xR20785f=0_0xS20785f=7
10003,Super Mario 64,48645,Full Course in the Fortress,Collect all 7 Power Stars in Whomp's Fortress.,5,8,,SamuraiGoroh,https://media.retroachievements.org/Badge/655418.png,14140,11060,8,R:0xH32ddf6=0_R:0xH32ddf6>4_0xH32ddfa=24S0xH32ddf6=1_A:d0xM20770e=0_A:d0xN20770e=0_A:d0xO20770e=0_A:d0xP20770e=0_A:d0xQ20770e=0_A:d0xR20770e=0_d0xS20770e=6_A:0xM20770e=0_A:0xN20770e=0_A:0xO20770e=0_A:0xP20770e=0_A:0xQ20770e=0_A:0xR20770e=0_0xS20770e=7S0xH32ddf6=2_A:d0xM20777e=0_A:d0xN20777e=0_A:d0xO20777e=0_A:d0xP20777e=0_A:d0xQ20777e=0_A:d0xR20777e=0_d0xS20777e=6_A:0xM20777e=0_A:0xN20777e=0_A:0xO20777e=0_A:0xP20777e=0_A:0xQ20777e=0_A:0xR20777e=0_0xS20777e=7S0xH32ddf6=3_A:d0xM2077ee=0_A:d0xN2077ee=0_A:d0xO2077ee=0_A:d0xP2077ee=0_A:d0xQ2077ee=0_A:d0xR2077ee=0_d0xS2077ee=6_A:0xM2077ee=0_A:0xN2077ee=0_A:0xO2077ee=0_A:0xP2077ee=0_A:0xQ2077ee=0_A:0xR2077ee=0_0xS2077ee=7S0xH32ddf6=4_A:d0xM20785e=0_A:d0xN20785e=0_A:d0xO20785e=0_A:d0xP20785e=0_A:d0xQ20785e=0_A:d0xR20785e=0_d0xS20785e=6_A:0xM20785e=0_A:0xN20785e=0_A:0xO20785e=0_A:0xP20785e=0_A:0xQ20785e=0_A:0xR20785e=0_0xS20785e=7
10003,Super Mario 64,48646,Full Course in the Bay,Collect all 7 Power Stars in Jolly Roger Bay.,5,10,,SamuraiGoroh,https://media.retroachievements.org/Badge/655419.png,9850,8106,9,R:0xH32ddf6=0_R:0xH32ddf6>4_0xH32ddfa=12S0xH32ddf6=1_A:d0xM20770d=0_A:d0xN20770d=0_A:d0xO20770d=0_A:d0xP20770d=0_A:d0xQ20770d=0_A:d0xR20770d=0_d0xS20770d=6_A:0xM20770d=0_A:0xN20770d=0_A:0xO20770d=0_A:0xP20770d=0_A:0xQ20770d=0_A:0xR20770d=0_0xS20770d=7S0xH32ddf6=2_A:d0xM20777d=0_A:d0xN20777d=0_A:d0xO20777d=0_A:d0xP20777d=0_A:d0xQ20777d=0_A:d0xR20777d=0_d0xS20777d=6_A:0xM20777d=0_A:0xN20777d=0_A:0xO20777d=0_A:0xP20777d=0_A:0xQ20777d=0_A:0xR20777d=0_0xS20777d=7S0xH32ddf6=3_A:d0xM2077ed=0_A:d0xN2077ed=0_A:d0xO2077ed=0_A:d0xP2077ed=0_A:d0xQ2077ed=0_A:d0xR2077ed=0_d0xS2077ed=6_A:0xM2077ed=0_A:0xN2077ed=0_A:0xO2077ed=0_A:0xP2077ed=0_A:0xQ2077ed=0_A:0xR2077ed=0_0xS2077ed=7S0xH32ddf6=4_A:d0xM20785d=0_A:d0xN20785d=0_A:d0xO20785d=0_A:d0xP20785d=0_A:d0xQ20785d=0_A:d0xR20785d=0_d0xS20785d=6_A:0xM20785d=0_A:0xN20785d=0_A:0xO20785d=0_A:0xP20785d=0_A:0xQ20785d=0_A:0xR20785d=0_0xS20785d=7
10003,Super Mario 64,48647,Full Course in the Cool Mountain,"Collect all 7 Power Stars in Cool, Cool Mountain.",5,9,,SamuraiGoroh,https://media.retroachievements.org/Badge/655420.png,11092,8942,10,R:0xH32ddf6=0_R:0xH32ddf6>4_0xH32ddfa=5S0xH32ddf6=1_A:d0xM20770c=0_A:d0xN20770c=0_A:d0xO20770c=0_A:d0xP20770c=0_A:d0xQ20770c=0_A:d0xR20770c=0_d0xS20770c=6_A:0xM20770c=0_A:0xN20770c=0_A:0xO20770c=0_A:0xP20770c=0_A:0xQ20770c=0_A:0xR20770c=0_0xS20770c=7S0xH32ddf6=2_A:d0xM20777c=0_A:d0xN20777c=0_A:d0xO20777c=0_A:d0xP20777c=0_A:d0xQ20777c=0_A:d0xR20777c=0_d0xS20777c=6_A:0xM20777c=0_A:0xN20777c=0_A:0xO20777c=0_A:0xP20777c=0_A:0xQ20777c=0_A:0xR20777c=0_0xS20777c=7S0xH32ddf6=3_A:d0xM2077ec=0_A:d0xN2077ec=0_A:d0xO2077ec=0_A:d0xP2077ec=0_A:d0xQ2077ec=0_A:d0xR2077ec=0_d0xS2077ec=6_A:0xM2077ec=0_A:0xN2077ec=0_A:0xO2077ec=0_A:0xP2077ec=0_A:0xQ2077ec=0_A:0xR2077ec=0_0xS2077ec=7S0xH32ddf6=4_A:d0xM20785c=0_A:d0xN20785c=0_A:d0xO20785c=0_A:d0xP20785c=0_A:d0xQ20785c=0_A:d0xR20785c=0_d0xS20785c=6_A:0xM20785c=0_A:0xN20785c=0_A:0xO20785c=0_A:0xP20785c=0_A:0xQ20785c=0_A:0xR20785c=0_0xS20785c=7
