rank,id,title,consoleName,consoleId,totalPlayers,casualPlayers,hardcorePlayers,numAchievements,points,genre,developer,publisher,released,description,icon,boxArt,titleScreen,screenshot,rating
65,11765,Baseball Stars 2,Arcade,27,1504,1504,1504,43,0,Sports - Baseball,SNK,SNK,1992-04-01,Baseball Stars 2 is a baseball sports arcade game released by SNK in 1992 for the Neo-Geo console. A less detailed console version was released for the NES by Romstar the same year.,https://media.retroachievements.org/Images/041768.png,https://media.retroachievements.org/Images/016997.png,https://media.retroachievements.org/Images/017006.png,https://media.retroachievements.org/Images/017007.png,4.3
66,11780,Dungeons & Dragons: Shadow Over Mystara,Arcade,27,1503,1503,1503,51,0,Beat 'em Up,Capcom,Capcom,1996-02-01,Dungeons & Dragons: Shadow over Mystara is a 1996 beat 'em up game developed and published by Capcom for arcades. It is a sequel to Dungeons & Dragons: Tower of Doom. The game is set in the Dungeons & Dragons campaign setting of Mystara.,https://media.retroachievements.org/Images/122043.png,https://media.retroachievements.org/Images/025286.png,https://media.retroachievements.org/Images/025288.png,https://media.retroachievements.org/Images/025287.png,4.3
67,12366,RoboCop,Arcade,27,1501,1501,1501,43,0,,Data East,Data East,1988-01-01,"RoboCop is a 1987 American science fiction action film directed by Paul Verhoeven and written by Edward Neumeier and Michael Miner. The film stars Peter Weller, Nancy Allen, Daniel O'Herlihy, Ronny Cox, Kurtwood Smith, and Miguel Ferrer. Set in a crime-ridden Detroit in the near future, RoboCop centers on police officer Alex Murphy (Weller) who is murdered by a gang of criminals and revived by the megacorporation Omni Consumer Products as the cyborg law enforcer RoboCop. Unaware of his former life, RoboCop executes a campaign against crime while coming to terms with the lingering fragments of his humanity.",https://media.retroachievements.org/Images/051955.png,https://media.retroachievements.org/Images/034893.png,https://media.retroachievements.org/Images/050626.png,https://media.retroachievements.org/Images/050627.png,4.3
68,13794,Mutation Nation,Arcade,27,1487,1487,1487,29,0,Beat 'em Up,SNK,SNK,1992-03-01,Mutation Nation is a beat 'em up arcade video game that was developed and released by SNK for the Neo Geo in 1992.,https://media.retroachievements.org/Images/033279.png,https://media.retroachievements.org/Images/033278.png,https://media.retroachievements.org/Images/022145.png,https://media.retroachievements.org/Images/022146.png,4.3
69,14978,Mortal Kombat II,Arcade,27,1486,1486,1486,43,0,2D Fighting,Midway,Midway,1993-04-03,"Mortal Kombat II is a 1993 fighting game developed and published by Midway for arcades. It was later ported to multiple home systems, including MS-DOS, Amiga, Game Boy, Game Gear, Sega Genesis, 32X, Sega Saturn, Super NES, and PlayStation, by Probe Software and Sculptured Software, and published by Acclaim Entertainment.",https://media.retroachievements.org/Images/122179.png,https://media.retroachievements.org/Images/030490.png,https://media.retroachievements.org/Images/030935.png,https://media.retroachievements.org/Images/030936.png,4.3
70,12023,Bubble Bobble,Arcade,27,1453,1453,1453,91,0,2D Platforming,Taito,"Electrocoin, Romstar, Taito",1986-09-01,"Bubble Bobble is a platform game series originally developed and published by Taito. The first entry in the series, Bubble Bobble, was released in 1986 as an arcade cabinet. In most entries in the series, players control two dragons named Bub and Bob. This was followed by many sequels in both the main Bubble Bobble series, as well as the spin-off Rainbow Islands and Puzzle Bobble series. They were published for and ported to a wide variety of arcade and home video game consoles. The most recent release in the series is Bubble Bobble Sugar Dungeons in 2025.",https://media.retroachievements.org/Images/086846.png,https://media.retroachievements.org/Images/057562.png,https://media.retroachievements.org/Images/057560.png,https://media.retroachievements.org/Images/057561.png,4.3
71,11959,64th. Street: A Detective Story,Arcade,27,1448,1448,1448,15,0,Beat 'em Up,C.P. Brain,Jaleco,1991-01-01,"64th Street: A Detective Story is a 1992 beat 'em up video game developed by CP.Brain and published by Jaleco for arcades. It was released in Japan in March 1992 and in North America the same year. The two main characters are private detectives, who fight gangs through six stages to rescue a rich man's daughter who has been kidnapped.",https://media.retroachievements.org/Images/050582.png,https://media.retroachievements.org/Images/050736.png,https://media.retroachievements.org/Images/050580.png,https://media.retroachievements.org/Images/050579.png,4.3
72,11768,Shock Troopers: 2nd Squad,Arcade,27,1434,1434,1434,45,0,,Saurus,Saurus,1998-10-01,"Shock Troopers: 2nd Squad is a run and gun arcade game developed by Saurus and published by SNK in 1998 for the Neo-Geo arcade and home platform. Despite its title, it has no connection with the first Shock Troopers game. 2nd Squad was re-released for the Wii's Virtual Console service for North America in 2012. SNK Playmore released it for iOS, Linux and Windows via Humble Bundle and Steam in 2016.",https://media.retroachievements.org/Images/040175.png,https://media.retroachievements.org/Images/016995.png,https://media.retroachievements.org/Images/016903.png,https://media.retroachievements.org/Images/016904.png,4.3
73,11993,Battle Circuit,Arcade,27,1423,1423,1423,48,0,Beat 'em Up,Capcom,Capcom,1997-03-19,"The history of video games began in the 1950s and 1960s as computer scientists began designing simple games and simulations on minicomputers and mainframes. Spacewar! was developed by Massachusetts Institute of Technology (MIT) student hobbyists in 1962 as one of the first such games on a video display. The first consumer video game hardware was released in the early 1970s. The first home video game console was the Magnavox Odyssey, and the first arcade video games were Computer Space and Pong. After its home console conversions, numerous companies sprang up to capture Pong's success in both the arcade and the home by cloning the game, causing a series of boom and bust cycles due to oversaturation and lack of innovation.",https://media.retroachievements.org/Images/073731.png,https://media.retroachievements.org/Images/065022.png,https://media.retroachievements.org/Images/069928.png,https://media.retroachievements.org/Images/069930.png,4.3
74,13808,Robo Army,Arcade,27,1418,1418,1418,26,0,Beat 'em Up,SNK,SNK,1991-10-30,Robo Army is a beat 'em up video game developed and published by SNK that was released for Neo Geo arcades and home consoles in 1991 and the Neo Geo CD in 1995.,https://media.retroachievements.org/Images/077448.png,https://media.retroachievements.org/Images/039393.png,https://media.retroachievements.org/Images/022256.png,https://media.retroachievements.org/Images/022257.png,4.3
