id,romId,title,url,image,console,downloadCount,size,romType
110119,110020,Grand Theft Auto – Vice City Stories,https://romsfun.com/roms/playstation-portable/grand-theft-auto-vice-city-stories.html,https://romsfun.com/wp-content/uploads/2019/08/Grand-Theft-Auto-Vice-City-Stories-300x384.png,Grand Theft Auto – Vice City Stories,"61,637",863.91 M,
110120,110020,Grand Theft Auto: Sindacco Chronicles,https://romsfun.com/roms/playstation-portable/grand-theft-auto-sindacco-chronicles.html,https://romsfun.com/wp-content/uploads/2024/06/Grand-Theft-Auto-Sindacco-Chronicles-300x515.jpg,Grand Theft Auto: Sindacco Chronicles,507,796.75 MB,
111075,110180,WipEout Portable Collection,https://romsfun.com/roms/playstation-portable/wipeout-portable-collection.html,https://romsfun.com/wp-content/uploads/2025/06/WipEout-Portable-Collection.jpg,WipEout Portable Collection,632,430.13 M,
111076,110180,Tactics Ogre: Let Us Cling Together: One Vision,https://romsfun.com/roms/playstation-portable/tactics-ogre-let-us-cling-together-one-vision.html,https://romsfun.com/wp-content/uploads/2024/06/Tactics-Ogre-Let-Us-Cling-Together-One-Vision-300x212.jpg,Tactics Ogre: Let Us Cling Together: One Vision,750,972 M,
111077,110180,Mega Man – Maverick Hunter X,https://romsfun.com/roms/playstation-portable/mega-man-maverick-hunter-x.html,https://romsfun.com/wp-content/uploads/2019/08/Mega-Man-Maverick-Hunter-X-psp-poster-300x520.jpg,Mega Man – Maverick Hunter X,"8,340",409.69 M,
111078,110180,Final Fantasy Tactics: The War of the Lions (Omega),https://romsfun.com/roms/playstation-portable/final-fantasy-tactics-the-war-of-the-lions-omega.html,https://romsfun.com/wp-content/uploads/2025/11/FFT-RM-Box-1-300x501.jpg,Final Fantasy Tactics: The War of the Lions (Omega),96,185.79 M,
111079,110180,Grand Theft Auto – Vice City Stories,https://romsfun.com/roms/playstation-portable/grand-theft-auto-vice-city-stories.html,https://romsfun.com/wp-content/uploads/2019/08/Grand-Theft-Auto-Vice-City-Stories-300x384.png,Grand Theft Auto – Vice City Stories,"61,637",863.91 M,
111080,110180,Grand Theft Auto: Sindacco Chronicles,https://romsfun.com/roms/playstation-portable/grand-theft-auto-sindacco-chronicles.html,https://romsfun.com/wp-content/uploads/2024/06/Grand-Theft-Auto-Sindacco-Chronicles-300x515.jpg,Grand Theft Auto: Sindacco Chronicles,507,796.75 MB,
110211,110036,WipEout Portable Collection,https://romsfun.com/roms/playstation-portable/wipeout-portable-collection.html,https://romsfun.com/wp-content/uploads/2025/06/WipEout-Portable-Collection.jpg,WipEout Portable Collection,632,430.13 M,
110212,110036,Tactics Ogre: Let Us Cling Together: One Vision,https://romsfun.com/roms/playstation-portable/tactics-ogre-let-us-cling-together-one-vision.html,https://romsfun.com/wp-content/uploads/2024/06/Tactics-Ogre-Let-Us-Cling-Together-One-Vision-300x212.jpg,Tactics Ogre: Let Us Cling Together: One Vision,750,972 M,
110213,110036,Mega Man – Maverick Hunter X,https://romsfun.com/roms/playstation-portable/mega-man-maverick-hunter-x.html,https://romsfun.com/wp-content/uploads/2019/08/Mega-Man-Maverick-Hunter-X-psp-poster-300x520.jpg,Mega Man – Maverick Hunter X,"8,340",409.69 M,
110214,110036,Final Fantasy Tactics: The War of the Lions (Omega),https://romsfun.com/roms/playstation-portable/final-fantasy-tactics-the-war-of-the-lions-omega.html,https://romsfun.com/wp-content/uploads/2025/11/FFT-RM-Box-1-300x501.jpg,Final Fantasy Tactics: The War of the Lions (Omega),96,185.79 M,
110215,110036,Grand Theft Auto – Vice City Stories,https://romsfun.com/roms/playstation-portable/grand-theft-auto-vice-city-stories.html,https://romsfun.com/wp-content/uploads/2019/08/Grand-Theft-Auto-Vice-City-Stories-300x384.png,Grand Theft Auto – Vice City Stories,"61,658",863.91 M,
